t,popsize,poptype,poplocation
7.05039,1.46334,N1,Lumen
7.22886,2.63715,N0,Wall
7.22886,1.69903,N1,Wall
7.22886,2.63619,N0,Lumen
7.22886,1.47751,N1,Lumen
7.40591,2.70045,N0,Wall
7.40591,1.72104,N1,Wall
7.40591,2.69942,N0,Lumen
7.40591,1.4917,N1,Lumen
7.58157,2.76476,N0,Wall
7.58157,1.74315,N1,Wall
7.58157,2.76366,N0,Lumen
7.58157,1.50592,N1,Lumen
7.75587,2.83007,N0,Wall
7.75587,1.76535,N1,Wall
7.75587,2.82891,N0,Lumen
7.75587,1.52016,N1,Lumen
7.92882,2.8964,N0,Wall
7.92882,1.78766,N1,Wall
7.92882,2.89517,N0,Lumen
7.92882,1.53443,N1,Lumen
8.10045,2.96376,N0,Wall
8.10045,1.81006,N1,Wall
8.10045,2.96245,N0,Lumen
8.10045,1.54871,N1,Lumen
8.27077,3.03215,N0,Wall
8.27077,1.83256,N1,Wall
8.27077,3.03076,N0,Lumen
8.27077,1.56302,N1,Lumen
8.4398,3.10158,N0,Wall
8.4398,1.85516,N1,Wall
8.4398,3.10011,N0,Lumen
8.4398,1.57735,N1,Lumen
8.60757,3.17205,N0,Wall
8.60757,1.87786,N1,Wall
8.60757,3.17051,N0,Lumen
8.60757,1.59171,N1,Lumen
8.77409,3.24359,N0,Wall
8.77409,1.90066,N1,Wall
8.77409,3.24196,N0,Lumen
8.77409,1.60609,N1,Lumen
8.93938,3.31619,N0,Wall
8.93938,1.92355,N1,Wall
8.93938,3.31447,N0,Lumen
8.93938,1.62049,N1,Lumen
9.10346,3.38986,N0,Wall
9.10346,1.94654,N1,Wall
9.10346,3.38805,N0,Lumen
9.10346,1.63491,N1,Lumen
9.26635,3.46461,N0,Wall
9.26635,1.96963,N1,Wall
9.26635,3.46271,N0,Lumen
9.26635,1.64935,N1,Lumen
9.42806,3.54044,N0,Wall
9.42806,1.99282,N1,Wall
9.42806,3.53846,N0,Lumen
9.42806,1.66382,N1,Lumen
9.58861,3.61738,N0,Wall
9.58861,2.01609,N1,Wall
9.58861,3.61529,N0,Lumen
9.58861,1.67831,N1,Lumen
9.74802,3.69541,N0,Wall
9.74802,2.03947,N1,Wall
9.74802,3.69323,N0,Lumen
9.74802,1.69282,N1,Lumen
9.90631,3.77456,N0,Wall
9.90631,2.06294,N1,Wall
9.90631,3.77227,N0,Lumen
9.90631,1.70735,N1,Lumen
10.0635,3.85482,N0,Wall
10.0635,2.0865,N1,Wall
10.0635,3.85243,N0,Lumen
10.0635,1.7219,N1,Lumen
10.2196,3.93622,N0,Wall
10.2196,2.11016,N1,Wall
10.2196,3.93372,N0,Lumen
10.2196,1.73647,N1,Lumen
10.3746,4.01874,N0,Wall
10.3746,2.13392,N1,Wall
10.3746,4.01613,N0,Lumen
10.3746,1.75107,N1,Lumen
10.5285,4.10241,N0,Wall
10.5285,2.15776,N1,Wall
10.5285,4.09969,N0,Lumen
10.5285,1.76568,N1,Lumen
10.6814,4.18723,N0,Wall
10.6814,2.1817,N1,Wall
10.6814,4.18439,N0,Lumen
10.6814,1.78032,N1,Lumen
10.8332,4.27321,N0,Wall
10.8332,2.20574,N1,Wall
10.8332,4.27024,N0,Lumen
10.8332,1.79498,N1,Lumen
10.9841,4.36035,N0,Wall
10.9841,2.22986,N1,Wall
10.9841,4.35726,N0,Lumen
10.9841,1.80966,N1,Lumen
11.1339,4.44867,N0,Wall
11.1339,2.25408,N1,Wall
11.1339,4.44545,N0,Lumen
11.1339,1.82436,N1,Lumen
11.2827,4.53816,N0,Wall
11.2827,2.27839,N1,Wall
11.2827,4.53482,N0,Lumen
11.2827,1.83908,N1,Lumen
11.4305,4.62885,N0,Wall
11.4305,2.3028,N1,Wall
11.4305,4.62537,N0,Lumen
11.4305,1.85382,N1,Lumen
11.5774,4.72073,N0,Wall
11.5774,2.32729,N1,Wall
11.5774,4.71712,N0,Lumen
11.5774,1.86858,N1,Lumen
11.7233,4.81382,N0,Wall
11.7233,2.35188,N1,Wall
11.7233,4.81007,N0,Lumen
11.7233,1.88336,N1,Lumen
11.8683,4.90812,N0,Wall
11.8683,2.37655,N1,Wall
11.8683,4.90423,N0,Lumen
11.8683,1.89817,N1,Lumen
12.0123,5.00364,N0,Wall
12.0123,2.40132,N1,Wall
12.0123,4.9996,N0,Lumen
12.0123,1.91299,N1,Lumen
12.1555,5.10039,N0,Wall
12.1555,2.42618,N1,Wall
