pars1,popsize,population,location
0,2232.13,N0,Wall
0,1.67982e-322,N1,Wall
0,2232.13,N0,Lumen
0,1.67982e-322,N1,Lumen
1,2232.13,N0,Wall
1,1.67982e-322,N1,Wall
1,2132.85,N0,Lumen
1,2.2233e-322,N1,Lumen
2,2232.13,N0,Wall
2,1.67982e-322,N1,Wall
2,2035,N0,Lumen
2,2.42092e-322,N1,Lumen
3,2232.13,N0,Wall
3,3.65609e-322,N1,Wall
3,1939.16,N0,Lumen
3,7.21336e-322,N1,Lumen
4,2232.13,N0,Wall
4,8.4489e-81,N1,Wall
4,1846.06,N0,Lumen
4,1.8559e-80,N1,Lumen
5,1632.77,N0,Wall
5,662.842,N1,Wall
5,369.447,N0,Lumen
5,1599.84,N1,Lumen
6,1549.75,N0,Wall
6,754.952,N1,Wall
6,154.824,N0,Lumen
6,1827.68,N1,Lumen
7,1530.06,N0,Wall
7,776.819,N1,Wall
7,97.8414,N0,Lumen
7,1882.06,N1,Lumen
8,1522.68,N0,Wall
8,785.013,N1,Wall
8,71.9981,N0,Lumen
8,1902.46,N1,Lumen
9,1519.63,N0,Wall
9,788.401,N1,Wall
9,57.3561,N0,Lumen
9,1910.9,N1,Lumen
10,1518.54,N0,Wall
10,789.617,N1,Wall
10,47.9877,N0,Lumen
10,1913.94,N1,Lumen
11,1518.44,N0,Wall
11,789.72,N1,Wall
11,41.518,N0,Lumen
11,1914.19,N1,Lumen
12,1518.9,N0,Wall
12,789.214,N1,Wall
12,36.8109,N0,Lumen
12,1912.93,N1,Lumen
13,1519.66,N0,Wall
13,788.371,N1,Wall
13,33.2546,N0,Lumen
13,1910.83,N1,Lumen
14,1520.58,N0,Wall
14,787.348,N1,Wall
14,30.4901,N0,Lumen
14,1908.28,N1,Lumen
15,1521.58,N0,Wall
15,786.24,N1,Wall
15,28.2928,N0,Lumen
15,1905.52,N1,Lumen
16,1522.6,N0,Wall
16,785.106,N1,Wall
16,26.5145,N0,Lumen
16,1902.7,N1,Lumen
17,1523.61,N0,Wall
17,783.985,N1,Wall
17,25.0539,N0,Lumen
17,1899.9,N1,Lumen
18,1524.59,N0,Wall
18,782.898,N1,Wall
18,23.8389,N0,Lumen
18,1897.19,N1,Lumen
19,1525.52,N0,Wall
19,781.86,N1,Wall
19,22.8172,N0,Lumen
19,1894.61,N1,Lumen
20,1526.41,N0,Wall
20,780.877,N1,Wall
20,21.9496,N0,Lumen
20,1892.16,N1,Lumen
21,1527.24,N0,Wall
21,779.953,N1,Wall
21,21.2065,N0,Lumen
21,1889.86,N1,Lumen
22,1528.02,N0,Wall
