pars1,popsize,population,location
1e-08,2232.13,N0,Wall
1e-08,0.000845531,N1,Wall
1e-08,26.306,N0,Lumen
1e-08,2009.65,N1,Lumen
2e-08,2232.13,N0,Wall
2e-08,0.00169106,N1,Wall
2e-08,26.306,N0,Lumen
2e-08,2009.65,N1,Lumen
4e-08,2232.13,N0,Wall
4e-08,0.00338212,N1,Wall
4e-08,26.3061,N0,Lumen
4e-08,2009.65,N1,Lumen
8e-08,2232.13,N0,Wall
8e-08,0.00676424,N1,Wall
8e-08,26.3061,N0,Lumen
8e-08,2009.65,N1,Lumen
1.6e-07,2232.12,N0,Wall
1.6e-07,0.0135285,N1,Wall
1.6e-07,26.3061,N0,Lumen
1.6e-07,2009.65,N1,Lumen
3.2e-07,2232.11,N0,Wall
3.2e-07,0.0270569,N1,Wall
3.2e-07,26.3061,N0,Lumen
3.2e-07,2009.64,N1,Lumen
6.4e-07,2232.08,N0,Wall
6.4e-07,0.0541137,N1,Wall
6.4e-07,26.3062,N0,Lumen
6.4e-07,2009.64,N1,Lumen
1.28e-06,2232.03,N0,Wall
1.28e-06,0.108227,N1,Wall
1.28e-06,26.3063,N0,Lumen
1.28e-06,2009.63,N1,Lumen
2.56e-06,2231.94,N0,Wall
2.56e-06,0.216452,N1,Wall
2.56e-06,26.3065,N0,Lumen
2.56e-06,2009.62,N1,Lumen
5.12e-06,2231.74,N0,Wall
5.12e-06,0.432897,N1,Wall
5.12e-06,26.3069,N0,Lumen
5.12e-06,2009.59,N1,Lumen
1.024e-05,2231.35,N0,Wall
1.024e-05,0.865764,N1,Wall
1.024e-05,26.3078,N0,Lumen
1.024e-05,2009.54,N1,Lumen
2.048e-05,2230.56,N0,Wall
2.048e-05,1.73141,N1,Wall
2.048e-05,26.3095,N0,Lumen
2.048e-05,2009.43,N1,Lumen
4.096e-05,2228.99,N0,Wall
4.096e-05,3.46233,N1,Wall
4.096e-05,26.313,N0,Lumen
4.096e-05,2009.21,N1,Lumen
8.192e-05,2225.86,N0,Wall
8.192e-05,6.92274,N1,Wall
8.192e-05,26.3199,N0,Lumen
8.192e-05,2008.77,N1,Lumen
0.00016384,2219.59,N0,Wall
0.00016384,13.8378,N1,Wall
0.00016384,26.3338,N0,Lumen
0.00016384,2007.89,N1,Lumen
0.00032768,2207.09,N0,Wall
0.00032768,27.6447,N1,Wall
0.00032768,26.3617,N0,Lumen
0.00032768,2006.14,N1,Lumen
0.00065536,2182.16,N0,Wall
0.00065536,55.1659,N1,Wall
0.00065536,26.418,N0,Lumen
0.00065536,2002.64,N1,Lumen
0.00131072,2132.64,N0,Wall
0.00131072,109.837,N1,Wall
0.00131072,26.5323,N0,Lumen
0.00131072,1995.65,N1,Lumen
0.00262144,2035.01,N0,Wall
0.00262144,217.683,N1,Wall
0.00262144,26.7679,N0,Lumen
0.00262144,1981.77,N1,Lumen
0.00524288,1845.42,N0,Wall
0.00524288,427.312,N1,Wall
0.00524288,27.2692,N0,Lumen
0.00524288,1954.32,N1,Lumen
0.0104858,1490.06,N0,Wall
0.0104858,821.256,N1,Wall
0.0104858,28.4064,N0,Lumen
0.0104858,1900.61,N1,Lumen
0.0209715,891.708,N0,Wall
0.0209715,1491.56,N1,Wall
0.0209715,31.3702,N0,Lumen
0.0209715,1797.37,N1,Lumen
0.041943,298.797,N0,Wall
0.041943,2212.31,N1,Wall
0.041943,42.4518,N0,Lumen
0.041943,1602.08,N1,Lumen
0.0838861,2232.13,N0,Wall
0.0838861,0.000119881,N1,Wall
0.0838861,1204.72,N0,Lumen
0.0838861,3.38834e-05,N1,Lumen
