popsize,popid,Sin
1.47166e+07,N0,20.9
2.25214e-05,N1,20.9
1.48766e+07,N0,21
1.97617e-05,N1,21
1.50366e+07,N0,21.1
1.91659e-05,N1,21.1
1.51966e+07,N0,21.2
1.76978e-05,N1,21.2
1.53566e+07,N0,21.3
1.88397e-05,N1,21.3
1.55166e+07,N0,21.4
2.30311e-05,N1,21.4
1.56766e+07,N0,21.5
2.34718e-05,N1,21.5
1.58366e+07,N0,21.6
2.08389e-05,N1,21.6
1.59966e+07,N0,21.7
1.98132e-05,N1,21.7
1.61566e+07,N0,21.8
2.42999e-05,N1,21.8
1.63166e+07,N0,21.9
2.07965e-05,N1,21.9
1.64766e+07,N0,22
2.35647e-05,N1,22
1.66366e+07,N0,22.1
1.81579e-05,N1,22.1
1.67966e+07,N0,22.2
2.07585e-05,N1,22.2
1.69566e+07,N0,22.3
2.31582e-05,N1,22.3
1.71166e+07,N0,22.4
1.84994e-05,N1,22.4
1.72766e+07,N0,22.5
2.07266e-05,N1,22.5
1.74366e+07,N0,22.6
2.00403e-05,N1,22.6
1.75966e+07,N0,22.7
2.26345e-05,N1,22.7
1.77566e+07,N0,22.8
1.88366e-05,N1,22.8
1.79166e+07,N0,22.9
2.05217e-05,N1,22.9
1.80766e+07,N0,23
2.00251e-05,N1,23
1.82366e+07,N0,23.1
2.38559e-05,N1,23.1
1.83966e+07,N0,23.2
2.6471e-05,N1,23.2
1.85566e+07,N0,23.3
2.47582e-05,N1,23.3
1.87166e+07,N0,23.4
2.39085e-05,N1,23.4
1.88766e+07,N0,23.5
1.96611e-05,N1,23.5
1.90366e+07,N0,23.6
2.38213e-05,N1,23.6
1.91966e+07,N0,23.7
2.4658e-05,N1,23.7
1.93566e+07,N0,23.8
2.50449e-05,N1,23.8
1.95166e+07,N0,23.9
2.27327e-05,N1,23.9
1.96766e+07,N0,24
2.01195e-05,N1,24
1.98366e+07,N0,24.1
2.41273e-05,N1,24.1
1.99966e+07,N0,24.2
2.28812e-05,N1,24.2
2.01566e+07,N0,24.3
2.71993e-05,N1,24.3
2.03166e+07,N0,24.4
2.13984e-05,N1,24.4
2.04766e+07,N0,24.5
2.45227e-05,N1,24.5
2.06366e+07,N0,24.6
2.11157e-05,N1,24.6
2.07966e+07,N0,24.7
2.26544e-05,N1,24.7
2.09566e+07,N0,24.8
2.66134e-05,N1,24.8
2.11166e+07,N0,24.9
2.32935e-05,N1,24.9
2.12766e+07,N0,25
2.12704e-05,N1,25
2.14366e+07,N0,25.1
2.57442e-05,N1,25.1
2.15966e+07,N0,25.2
2.60219e-05,N1,25.2
2.17566e+07,N0,25.3
2.18446e-05,N1,25.3
2.19166e+07,N0,25.4
2.20582e-05,N1,25.4
2.20766e+07,N0,25.5
2.41714e-05,N1,25.5
2.22366e+07,N0,25.6
2.94533e-05,N1,25.6
2.23966e+07,N0,25.7
2.43277e-05,N1,25.7
2.25566e+07,N0,25.8
2.88167e-05,N1,25.8
2.27166e+07,N0,25.9
2.46198e-05,N1,25.9
2.28766e+07,N0,26
2.41809e-05,N1,26
2.30366e+07,N0,26.1
2.72184e-05,N1,26.1
2.31966e+07,N0,26.2
2.83545e-05,N1,26.2
2.33566e+07,N0,26.3
2.5235e-05,N1,26.3
2.35166e+07,N0,26.4
2.92371e-05,N1,26.4
2.36766e+07,N0,26.5
2.51736e-05,N1,26.5
2.38366e+07,N0,26.6
2.34074e-05,N1,26.6
2.39966e+07,N0,26.7
2.7923e-05,N1,26.7
2.41566e+07,N0,26.8
2.88248e-05,N1,26.8
2.43166e+07,N0,26.9
2.53205e-05,N1,26.9
2.44766e+07,N0,27
3.0631e-05,N1,27
2.46366e+07,N0,27.1
2.4696e-05,N1,27.1
2.47966e+07,N0,27.2
2.623e-05,N1,27.2
2.49566e+07,N0,27.3
2.98799e-05,N1,27.3
2.51166e+07,N0,27.4
3.13459e-05,N1,27.4
2.52766e+07,N0,27.5
3.122e-05,N1,27.5
2.54366e+07,N0,27.6
2.62412e-05,N1,27.6
2.55966e+07,N0,27.7
3.05595e-05,N1,27.7
2.57566e+07,N0,27.8
2.67271e-05,N1,27.8
2.59166e+07,N0,27.9
2.96642e-05,N1,27.9
2.60766e+07,N0,28
2.78832e-05,N1,28
2.62366e+07,N0,28.1
2.91929e-05,N1,28.1
2.63966e+07,N0,28.2
3.06108e-05,N1,28.2
2.65566e+07,N0,28.3
3.30076e-05,N1,28.3
2.67166e+07,N0,28.4
2.98536e-05,N1,28.4
2.68766e+07,N0,28.5
3.26971e-05,N1,28.5
2.70366e+07,N0,28.6
2.86344e-05,N1,28.6
2.71966e+07,N0,28.7
3.04915e-05,N1,28.7
2.73566e+07,N0,28.8
2.82832e-05,N1,28.8
2.75166e+07,N0,28.9
2.71748e-05,N1,28.9
2.76766e+07,N0,29
3.47046e-05,N1,29
2.78366e+07,N0,29.1
3.36721e-05,N1,29.1
2.79966e+07,N0,29.2
3.07915e-05,N1,29.2
2.81566e+07,N0,29.3
3.33766e-05,N1,29.3
2.83166e+07,N0,29.4
3.37399e-05,N1,29.4
2.84766e+07,N0,29.5
3.00702e-05,N1,29.5
2.86366e+07,N0,29.6
3.16335e-05,N1,29.6
2.87966e+07,N0,29.7
3.48852e-05,N1,29.7
2.89566e+07,N0,29.8
3.60606e-05,N1,29.8
2.91166e+07,N0,29.9
3.01742e-05,N1,29.9
2.92766e+07,N0,30
3.42729e-05,N1,30
2.94366e+07,N0,30.1
3.55247e-05,N1,30.1
2.95966e+07,N0,30.2
3.50299e-05,N1,30.2
2.97566e+07,N0,30.3
3.39627e-05,N1,30.3
2.99166e+07,N0,30.4
3.61464e-05,N1,30.4
3.00766e+07,N0,30.5
3.30119e-05,N1,30.5
3.02366e+07,N0,30.6
3.74967e-05,N1,30.6
3.03966e+07,N0,30.7
3.22681e-05,N1,30.7
3.05566e+07,N0,30.8
3.70276e-05,N1,30.8
3.07166e+07,N0,30.9
3.14126e-05,N1,30.9
3.08766e+07,N0,31
3.88335e-05,N1,31
3.10366e+07,N0,31.1
3.69567e-05,N1,31.1
3.11966e+07,N0,31.2
3.93557e-05,N1,31.2
3.13566e+07,N0,31.3
3.27173e-05,N1,31.3
3.15166e+07,N0,31.4
3.3866e-05,N1,31.4
3.16766e+07,N0,31.5
4.06192e-05,N1,31.5
3.18366e+07,N0,31.6
3.82604e-05,N1,31.6
3.19966e+07,N0,31.7
3.62904e-05,N1,31.7
3.21566e+07,N0,31.8
4.14329e-05,N1,31.8
3.23166e+07,N0,31.9
3.62935e-05,N1,31.9
3.24766e+07,N0,32
4.06412e-05,N1,32
3.26366e+07,N0,32.1
3.64075e-05,N1,32.1
3.27966e+07,N0,32.2
3.72954e-05,N1,32.2
3.29566e+07,N0,32.3
3.65253e-05,N1,32.3
3.31166e+07,N0,32.4
3.63804e-05,N1,32.4
3.32766e+07,N0,32.5
3.82985e-05,N1,32.5
3.34366e+07,N0,32.6
4.11304e-05,N1,32.6
3.35966e+07,N0,32.7
4.17241e-05,N1,32.7
3.37566e+07,N0,32.8
3.94914e-05,N1,32.8
3.39166e+07,N0,32.9
4.03141e-05,N1,32.9
3.40766e+07,N0,33
4.0428e-05,N1,33
3.42366e+07,N0,33.1
4.0823e-05,N1,33.1
3.43966e+07,N0,33.2
4.35111e-05,N1,33.2
3.45566e+07,N0,33.3
4.58068e-05,N1,33.3
3.47166e+07,N0,33.4
3.96999e-05,N1,33.4
3.48766e+07,N0,33.5
4.57907e-05,N1,33.5
3.50366e+07,N0,33.6
4.39312e-05,N1,33.6
3.51966e+07,N0,33.7
4.40019e-05,N1,33.7
3.53566e+07,N0,33.8
4.04814e-05,N1,33.8
3.55166e+07,N0,33.9
4.44801e-05,N1,33.9
3.56766e+07,N0,34
4.09481e-05,N1,34
3.58366e+07,N0,34.1
4.23212e-05,N1,34.1
3.59966e+07,N0,34.2
4.5898e-05,N1,34.2
3.61566e+07,N0,34.3
4.63647e-05,N1,34.3
3.63166e+07,N0,34.4
4.39864e-05,N1,34.4
3.64766e+07,N0,34.5
4.7149e-05,N1,34.5
3.66366e+07,N0,34.6
4.66068e-05,N1,34.6
3.67966e+07,N0,34.7
4.83996e-05,N1,34.7
3.69566e+07,N0,34.8
5.18744e-05,N1,34.8
3.71166e+07,N0,34.9
5.18828e-05,N1,34.9
3.72766e+07,N0,35
4.95668e-05,N1,35
3.74366e+07,N0,35.1
4.80391e-05,N1,35.1
3.75966e+07,N0,35.2
5.34727e-05,N1,35.2
3.77566e+07,N0,35.3
4.90615e-05,N1,35.3
3.79166e+07,N0,35.4
5.01478e-05,N1,35.4
3.80766e+07,N0,35.5
5.50213e-05,N1,35.5
3.82366e+07,N0,35.6
5.20812e-05,N1,35.6
3.83966e+07,N0,35.7
5.65754e-05,N1,35.7
3.85566e+07,N0,35.8
5.52296e-05,N1,35.8
3.87166e+07,N0,35.9
5.70104e-05,N1,35.9
3.88766e+07,N0,36
5.61767e-05,N1,36
3.90366e+07,N0,36.1
5.25002e-05,N1,36.1
3.91966e+07,N0,36.2
5.34427e-05,N1,36.2
3.93566e+07,N0,36.3
5.4728e-05,N1,36.3
3.95166e+07,N0,36.4
5.29568e-05,N1,36.4
3.96766e+07,N0,36.5
5.43013e-05,N1,36.5
3.98366e+07,N0,36.6
5.36741e-05,N1,36.6
3.99966e+07,N0,36.7
6.11399e-05,N1,36.7
4.01566e+07,N0,36.8
5.86741e-05,N1,36.8
4.03166e+07,N0,36.9
5.63926e-05,N1,36.9
4.04766e+07,N0,37
6.41107e-05,N1,37
4.06366e+07,N0,37.1
6.26944e-05,N1,37.1
4.07966e+07,N0,37.2
6.27131e-05,N1,37.2
4.09566e+07,N0,37.3
6.63489e-05,N1,37.3
4.11166e+07,N0,37.4
6.24959e-05,N1,37.4
4.12766e+07,N0,37.5
6.57094e-05,N1,37.5
4.14366e+07,N0,37.6
6.53083e-05,N1,37.6
4.15966e+07,N0,37.7
6.52584e-05,N1,37.7
4.17566e+07,N0,37.8
6.26126e-05,N1,37.8
4.19166e+07,N0,37.9
6.82075e-05,N1,37.9
4.20766e+07,N0,38
7.03094e-05,N1,38
4.22366e+07,N0,38.1
6.70538e-05,N1,38.1
4.23966e+07,N0,38.2
6.73973e-05,N1,38.2
4.25566e+07,N0,38.3
6.98152e-05,N1,38.3
4.27166e+07,N0,38.4
6.72614e-05,N1,38.4
4.28766e+07,N0,38.5
7.28983e-05,N1,38.5
4.30366e+07,N0,38.6
7.31122e-05,N1,38.6
4.31966e+07,N0,38.7
7.40925e-05,N1,38.7
4.33566e+07,N0,38.8
7.61278e-05,N1,38.8
4.35166e+07,N0,38.9
7.47636e-05,N1,38.9
4.36766e+07,N0,39
7.70704e-05,N1,39
