pars,popsize,population,location
50,7.07846e+07,N1,Wall
50,4.28e+07,N0,Lumen
50,22.1495,N1,Lumen
51,2.08446e+06,N0,Wall
51,7.24329e+07,N1,Wall
51,4.28e+07,N0,Lumen
51,22.6646,N1,Lumen
52,2.03834e+06,N0,Wall
52,7.4077e+07,N1,Wall
52,4.28e+07,N0,Lumen
52,23.1785,N1,Lumen
53,1.99597e+06,N0,Wall
53,7.57176e+07,N1,Wall
53,4.28e+07,N0,Lumen
53,23.6911,N1,Lumen
54,1.9569e+06,N0,Wall
54,7.7355e+07,N1,Wall
54,4.28e+07,N0,Lumen
54,24.2028,N1,Lumen
55,1.92078e+06,N0,Wall
55,7.89895e+07,N1,Wall
55,4.28e+07,N0,Lumen
55,24.7136,N1,Lumen
56,1.88727e+06,N0,Wall
56,8.06216e+07,N1,Wall
56,4.28e+07,N0,Lumen
56,25.2236,N1,Lumen
57,1.85612e+06,N0,Wall
57,8.22514e+07,N1,Wall
57,4.28e+07,N0,Lumen
57,25.7329,N1,Lumen
58,1.82706e+06,N0,Wall
58,8.38792e+07,N1,Wall
58,4.28e+07,N0,Lumen
58,26.2416,N1,Lumen
59,1.79992e+06,N0,Wall
59,8.55052e+07,N1,Wall
59,4.28e+07,N0,Lumen
59,26.7498,N1,Lumen
60,1.77449e+06,N0,Wall
60,8.71296e+07,N1,Wall
60,4.28e+07,N0,Lumen
60,27.2574,N1,Lumen
61,1.75063e+06,N0,Wall
61,8.87524e+07,N1,Wall
61,4.28e+07,N0,Lumen
61,27.7645,N1,Lumen
62,1.72819e+06,N0,Wall
62,9.03739e+07,N1,Wall
62,4.28e+07,N0,Lumen
62,28.2712,N1,Lumen
63,1.70705e+06,N0,Wall
63,9.19941e+07,N1,Wall
63,4.28e+07,N0,Lumen
63,28.7775,N1,Lumen
64,1.6871e+06,N0,Wall
64,9.36132e+07,N1,Wall
64,4.28e+07,N0,Lumen
64,29.2836,N1,Lumen
65,1.66824e+06,N0,Wall
65,9.52313e+07,N1,Wall
65,4.28e+07,N0,Lumen
65,29.7892,N1,Lumen
66,1.65039e+06,N0,Wall
66,9.68483e+07,N1,Wall
66,4.28e+07,N0,Lumen
66,30.2945,N1,Lumen
67,1.63347e+06,N0,Wall
67,9.84645e+07,N1,Wall
67,4.28e+07,N0,Lumen
67,30.7995,N1,Lumen
68,1.6174e+06,N0,Wall
68,1.0008e+08,N1,Wall
68,4.28e+07,N0,Lumen
68,31.3044,N1,Lumen
69,1.60213e+06,N0,Wall
69,1.01695e+08,N1,Wall
69,4.28e+07,N0,Lumen
69,31.809,N1,Lumen
70,1.58759e+06,N0,Wall
70,1.03308e+08,N1,Wall
70,4.28e+07,N0,Lumen
70,32.3132,N1,Lumen
71,1.57374e+06,N0,Wall
71,1.04922e+08,N1,Wall
71,4.28e+07,N0,Lumen
71,32.8174,N1,Lumen
72,1.56053e+06,N0,Wall
72,1.06534e+08,N1,Wall
72,4.28e+07,N0,Lumen
72,33.3214,N1,Lumen
73,1.54791e+06,N0,Wall
73,1.08146e+08,N1,Wall
73,4.28e+07,N0,Lumen
73,33.8251,N1,Lumen
74,1.53584e+06,N0,Wall
74,1.09758e+08,N1,Wall
74,4.28e+07,N0,Lumen
74,34.3287,N1,Lumen
75,1.52429e+06,N0,Wall
75,1.11369e+08,N1,Wall
75,4.28e+07,N0,Lumen
75,34.8322,N1,Lumen
76,1.51324e+06,N0,Wall
76,1.1298e+08,N1,Wall
76,4.28e+07,N0,Lumen
76,35.3355,N1,Lumen
77,1.50263e+06,N0,Wall
77,1.1459e+08,N1,Wall
77,4.28e+07,N0,Lumen
77,35.8387,N1,Lumen
78,1.49246e+06,N0,Wall
78,1.16199e+08,N1,Wall
78,4.28e+07,N0,Lumen
78,36.3417,N1,Lumen
79,1.48269e+06,N0,Wall
79,1.17809e+08,N1,Wall
79,4.28e+07,N0,Lumen
79,36.8446,N1,Lumen
80,1.4733e+06,N0,Wall
80,1.19418e+08,N1,Wall
80,4.28e+07,N0,Lumen
80,37.3474,N1,Lumen
81,1.46426e+06,N0,Wall
81,1.21026e+08,N1,Wall
81,4.28e+07,N0,Lumen
81,37.8502,N1,Lumen
82,1.45557e+06,N0,Wall
82,1.22635e+08,N1,Wall
82,4.28e+07,N0,Lumen
82,38.3527,N1,Lumen
83,1.44719e+06,N0,Wall
83,1.24243e+08,N1,Wall
83,4.28e+07,N0,Lumen
83,38.8552,N1,Lumen
84,1.43912e+06,N0,Wall
84,1.25851e+08,N1,Wall
84,4.28e+07,N0,Lumen
84,39.3577,N1,Lumen
85,1.43133e+06,N0,Wall
85,1.27458e+08,N1,Wall
85,4.28e+07,N0,Lumen
85,39.86,N1,Lumen
86,1.42382e+06,N0,Wall
86,1.29065e+08,N1,Wall
86,4.28e+07,N0,Lumen
86,40.3622,N1,Lumen
87,1.41656e+06,N0,Wall
87,1.30672e+08,N1,Wall
87,4.28e+07,N0,Lumen
87,40.8644,N1,Lumen
88,1.40955e+06,N0,Wall
88,1.32279e+08,N1,Wall
88,4.28e+07,N0,Lumen
88,41.3665,N1,Lumen
89,1.40276e+06,N0,Wall
89,1.33885e+08,N1,Wall
89,4.28e+07,N0,Lumen
89,41.8685,N1,Lumen
90,1.3962e+06,N0,Wall
90,1.35492e+08,N1,Wall
90,4.28e+07,N0,Lumen
90,42.3705,N1,Lumen
91,1.38985e+06,N0,Wall
91,1.37098e+08,N1,Wall
91,4.28e+07,N0,Lumen
91,42.8724,N1,Lumen
92,1.3837e+06,N0,Wall
92,1.38704e+08,N1,Wall
92,4.28e+07,N0,Lumen
92,43.3742,N1,Lumen
93,1.37774e+06,N0,Wall
93,1.40309e+08,N1,Wall
93,4.28e+07,N0,Lumen
93,43.876,N1,Lumen
94,1.37196e+06,N0,Wall
94,1.41915e+08,N1,Wall
94,4.28e+07,N0,Lumen
94,44.3777,N1,Lumen
95,1.36636e+06,N0,Wall
95,1.4352e+08,N1,Wall
95,4.28e+07,N0,Lumen
95,44.8794,N1,Lumen
96,1.36092e+06,N0,Wall
96,1.45125e+08,N1,Wall
96,4.28e+07,N0,Lumen
96,45.381,N1,Lumen
97,1.35564e+06,N0,Wall
97,1.4673e+08,N1,Wall
97,4.28e+07,N0,Lumen
97,45.8826,N1,Lumen
98,1.35052e+06,N0,Wall
98,1.48335e+08,N1,Wall
98,4.28e+07,N0,Lumen
98,46.3841,N1,Lumen
99,1.34554e+06,N0,Wall
99,1.4994e+08,N1,Wall
99,4.28e+07,N0,Lumen
99,46.8856,N1,Lumen
100,1.3407e+06,N0,Wall
100,1.51545e+08,N1,Wall
100,4.28e+07,N0,Lumen
100,47.3871,N1,Lumen
101,1.33599e+06,N0,Wall
101,1.53149e+08,N1,Wall
101,4.27999e+07,N0,Lumen
101,47.8885,N1,Lumen
102,1.33141e+06,N0,Wall
102,1.54754e+08,N1,Wall
102,4.27999e+07,N0,Lumen
102,48.3898,N1,Lumen
103,1.32695e+06,N0,Wall
103,1.56358e+08,N1,Wall
103,4.27999e+07,N0,Lumen
103,48.8911,N1,Lumen
104,1.32262e+06,N0,Wall
104,1.57962e+08,N1,Wall
104,4.27999e+07,N0,Lumen
104,49.3924,N1,Lumen
105,1.31839e+06,N0,Wall
105,1.59566e+08,N1,Wall
105,4.27999e+07,N0,Lumen
105,49.8937,N1,Lumen
106,1.31428e+06,N0,Wall
106,1.6117e+08,N1,Wall
106,4.27999e+07,N0,Lumen
106,50.395,N1,Lumen
107,1.31027e+06,N0,Wall
107,1.62774e+08,N1,Wall
107,4.27999e+07,N0,Lumen
107,50.8961,N1,Lumen
108,1.30636e+06,N0,Wall
108,1.64378e+08,N1,Wall
108,4.27999e+07,N0,Lumen
108,51.3973,N1,Lumen
109,1.30254e+06,N0,Wall
109,1.65981e+08,N1,Wall
109,4.27999e+07,N0,Lumen
109,51.8985,N1,Lumen
110,1.29883e+06,N0,Wall
110,1.67585e+08,N1,Wall
110,4.27999e+07,N0,Lumen
110,52.3995,N1,Lumen
111,1.2952e+06,N0,Wall
111,1.69188e+08,N1,Wall
111,4.27999e+07,N0,Lumen
111,52.9006,N1,Lumen
112,1.29166e+06,N0,Wall
112,1.70792e+08,N1,Wall
112,4.27999e+07,N0,Lumen
112,53.4017,N1,Lumen
113,1.2882e+06,N0,Wall
