pars1,popsize,population,location
0,2232.13,N0,Wall
0,1.67982e-322,N1,Wall
0,2232.13,N0,Lumen
0,1.67982e-322,N1,Lumen
1,2232.13,N0,Wall
1,1.67982e-322,N1,Wall
1,2132.85,N0,Lumen
1,2.2233e-322,N1,Lumen
2,2232.13,N0,Wall
2,1.67982e-322,N1,Wall
2,2035,N0,Lumen
2,2.42092e-322,N1,Lumen
3,2232.13,N0,Wall
3,3.65609e-322,N1,Wall
3,1939.16,N0,Lumen
3,7.36158e-322,N1,Lumen
4,2232.13,N0,Wall
4,5.84869e-161,N1,Wall
4,1846.06,N0,Lumen
4,1.30731e-160,N1,Lumen
5,1751.07,N0,Wall
5,538.247,N1,Wall
5,532.71,N0,Lumen
5,1414.33,N1,Lumen
6,1623.87,N0,Wall
6,680.94,N1,Wall
6,181.731,N0,Lumen
6,1796.14,N1,Lumen
7,1599.58,N0,Wall
7,708.212,N1,Wall
7,108.159,N0,Lumen
7,1869.57,N1,Lumen
8,1590.97,N0,Wall
8,717.878,N1,Wall
8,77.4723,N0,Lumen
8,1895.64,N1,Lumen
9,1587.39,N0,Wall
9,721.905,N1,Wall
9,60.7892,N0,Lumen
9,1906.5,N1,Lumen
10,1585.97,N0,Wall
10,723.497,N1,Wall
10,50.3727,N0,Lumen
10,1910.8,N1,Lumen
11,1585.64,N0,Wall
11,723.868,N1,Wall
11,43.2939,N0,Lumen
11,1911.8,N1,Lumen
12,1585.9,N0,Wall
12,723.578,N1,Wall
12,38.2016,N0,Lumen
12,1911.01,N1,Lumen
13,1586.48,N0,Wall
13,722.92,N1,Wall
13,34.3864,N0,Lumen
13,1909.24,N1,Lumen
14,1587.25,N0,Wall
14,722.061,N1,Wall
14,31.4395,N0,Lumen
14,1906.92,N1,Lumen
15,1588.1,N0,Wall
15,721.101,N1,Wall
15,29.1089,N0,Lumen
15,1904.33,N1,Lumen
16,1588.99,N0,Wall
16,720.103,N1,Wall
16,27.2303,N0,Lumen
16,1901.64,N1,Lumen
17,1589.88,N0,Wall
17,719.105,N1,Wall
17,25.6923,N0,Lumen
17,1898.95,N1,Lumen
18,1590.75,N0,Wall
18,718.131,N1,Wall
18,24.4164,N0,Lumen
18,1896.32,N1,Lumen
19,1591.58,N0,Wall
19,717.197,N1,Wall
19,23.3458,N0,Lumen
19,1893.8,N1,Lumen
20,1592.37,N0,Wall
20,716.309,N1,Wall
20,22.4385,N0,Lumen
20,1891.4,N1,Lumen
21,1593.11,N0,Wall
21,715.472,N1,Wall
21,21.6627,N0,Lumen
21,1889.15,N1,Lumen
22,1593.81,N0,Wall
