pars,popsize,population,DXDT
5,4.72131e+06,N0,4.80365e-07
5,0,N1,-7.1606e-07
6,6.32131e+06,N0,4.2299e-07
6,0,N1,-8.15627e-07
7,7.92131e+06,N0,3.49181e-07
7,0,N1,-8.82005e-07
8,9.52131e+06,N0,1.85893e-07
8,0,N1,-8.4179e-07
9,1.11213e+07,N0,1.05675e-07
9,0,N1,-8.80361e-07
10,1.27213e+07,N0,3.23955e-08
10,0,N1,-9.3185e-07
11,1.43213e+07,N0,-5.2723e-08
11,0,N1,-9.63949e-07
12,1.59213e+07,N0,-1.8758e-07
12,0,N1,-9.52982e-07
13,1.75213e+07,N0,-2.94195e-07
13,0,N1,-9.66366e-07
14,1.91213e+07,N0,-3.82269e-07
14,0,N1,-9.98861e-07
15,2.07213e+07,N0,-5.1348e-07
15,0,N1,-9.83253e-07
16,2.23213e+07,N0,-6.30931e-07
16,0,N1,-9.8717e-07
17,2.39213e+07,N0,-7.45752e-07
17,0,N1,-9.96689e-07
18,2.55213e+07,N0,-8.64554e-07
18,0,N1,-9.98432e-07
19,2.01441e+07,N0,1.88124e-06
19,6.84639e+06,N1,5.63014e-07
20,1.37011e+07,N0,-1.86937e-06
20,1.47414e+07,N1,-1.77071e-06
21,9.59061e+06,N0,-1.01604e-06
21,2.03551e+07,N1,-1.89853e-06
22,7.1647e+06,N0,-6.53177e-07
22,2.43229e+07,N1,-1.9515e-06
23,5.70167e+06,N0,-4.81406e-07
23,2.73506e+07,N1,-2.0313e-06
24,4.7634e+06,N0,-3.81726e-07
24,2.98661e+07,N1,-2.10677e-06
25,4.12311e+06,N0,-3.22092e-07
25,3.20908e+07,N1,-2.20424e-06
26,3.66278e+06,N0,-2.77767e-07
26,3.41399e+07,N1,-2.2765e-06
27,3.31769e+06,N0,-2.4683e-07
27,3.60765e+07,N1,-2.36076e-06
28,3.0502e+06,N0,-2.25933e-07
28,3.79375e+07,N1,-2.47001e-06
29,2.83717e+06,N0,2.07408e-07
29,3.97453e+07,N1,2.55548e-06
30,2.6637e+06,N0,-1.9274e-07
30,4.15145e+07,N1,-2.63964e-06
31,2.51983e+06,N0,1.81026e-07
31,4.32548e+07,N1,2.7339e-06
32,2.39865e+06,N0,-1.70679e-07
32,4.4973e+07,N1,-2.81328e-06
33,2.29522e+06,N0,1.6432e-07
33,4.66739e+07,N1,2.94024e-06
34,2.20593e+06,N0,-1.56069e-07
34,4.8361e+07,N1,-3.00717e-06
35,2.12809e+06,N0,1.49841e-07
35,5.00369e+07,N1,3.09768e-06
36,2.05964e+06,N0,-1.45286e-07
36,5.17037e+07,N1,-3.20451e-06
37,1.99898e+06,N0,1.41343e-07
37,5.33628e+07,N1,3.31765e-06
38,1.94486e+06,N0,-1.36075e-07
38,5.50156e+07,N1,-3.38217e-06
39,1.89628e+06,N0,-1.32335e-07
39,5.6663e+07,N1,-3.47677e-06
40,1.85244e+06,N0,-1.27809e-07
40,5.83058e+07,N1,-3.53572e-06
41,1.81267e+06,N0,1.26238e-07
41,5.99446e+07,N1,3.66867e-06
42,1.77644e+06,N0,1.22935e-07
42,6.15799e+07,N1,3.7459e-06
43,1.74329e+06,N0,1.20708e-07
