pars1,popsize,population,location
1e-10,1.27213e+07,N0,Wall
1e-10,0,N1,Wall
1e-10,1.21265e+07,N0,Lumen
1e-10,0.000163257,N1,Lumen
3e-10,1.27213e+07,N0,Wall
3e-10,0,N1,Wall
3e-10,1.21265e+07,N0,Lumen
3e-10,0.00016115,N1,Lumen
9e-10,1.27213e+07,N0,Wall
9e-10,0,N1,Wall
9e-10,1.21265e+07,N0,Lumen
9e-10,0.000163322,N1,Lumen
2.7e-09,1.27213e+07,N0,Wall
2.7e-09,0,N1,Wall
2.7e-09,1.21265e+07,N0,Lumen
2.7e-09,0.000160188,N1,Lumen
8.1e-09,1.27213e+07,N0,Wall
8.1e-09,0,N1,Wall
8.1e-09,1.21265e+07,N0,Lumen
8.1e-09,0.000162875,N1,Lumen
2.43e-08,1.27213e+07,N0,Wall
2.43e-08,0,N1,Wall
2.43e-08,1.21265e+07,N0,Lumen
2.43e-08,0.000162743,N1,Lumen
7.29e-08,1.27213e+07,N0,Wall
7.29e-08,0,N1,Wall
7.29e-08,1.21265e+07,N0,Lumen
7.29e-08,0.000160109,N1,Lumen
2.187e-07,1.27213e+07,N0,Wall
2.187e-07,0,N1,Wall
2.187e-07,1.21265e+07,N0,Lumen
2.187e-07,0.000163924,N1,Lumen
6.561e-07,1.27213e+07,N0,Wall
6.561e-07,0,N1,Wall
6.561e-07,1.21265e+07,N0,Lumen
6.561e-07,0.000160272,N1,Lumen
1.9683e-06,1.27213e+07,N0,Wall
1.9683e-06,0,N1,Wall
1.9683e-06,1.21265e+07,N0,Lumen
1.9683e-06,0.000158553,N1,Lumen
5.9049e-06,1.27213e+07,N0,Wall
5.9049e-06,0,N1,Wall
5.9049e-06,1.21265e+07,N0,Lumen
5.9049e-06,0.000154582,N1,Lumen
1.77147e-05,1.27213e+07,N0,Wall
1.77147e-05,0,N1,Wall
1.77147e-05,1.21265e+07,N0,Lumen
1.77147e-05,0.000149077,N1,Lumen
5.31441e-05,1.27213e+07,N0,Wall
5.31441e-05,0,N1,Wall
5.31441e-05,1.21265e+07,N0,Lumen
5.31441e-05,0.000132271,N1,Lumen
0.000159432,1.27213e+07,N0,Wall
0.000159432,0,N1,Wall
0.000159432,1.21265e+07,N0,Lumen
0.000159432,9.19058e-05,N1,Lumen
0.000478297,1.27213e+07,N0,Wall
0.000478297,0,N1,Wall
0.000478297,1.21265e+07,N0,Lumen
0.000478297,3.69929e-05,N1,Lumen
