pars1,popsize,population,location
0,2232.13,N0,Wall
0,2.24406e-162,N1,Wall
0,2232.13,N0,Lumen
0,2.24406e-169,N1,Lumen
1,2232.13,N0,Wall
1,6.08491e-162,N1,Wall
1,2132.85,N0,Lumen
1,1.75508e-168,N1,Lumen
2,2232.13,N0,Wall
2,1.18668e-10,N1,Wall
2,2035,N0,Lumen
2,4.13197e-11,N1,Lumen
3,403.877,N0,Wall
3,1869.1,N1,Wall
3,284.252,N0,Lumen
3,1739.09,N1,Lumen
4,365.655,N0,Wall
4,1913.35,N1,Wall
4,133.735,N0,Lumen
4,1881.34,N1,Lumen
5,356.624,N0,Wall
5,1924,N1,Wall
5,87.4871,N0,Lumen
5,1918.86,N1,Lumen
6,353.451,N0,Wall
6,1927.76,N1,Wall
6,65.2883,N0,Lumen
6,1932.46,N1,Lumen
7,352.383,N0,Wall
7,1929.03,N1,Wall
7,52.3247,N0,Lumen
7,1937.08,N1,Lumen
8,352.283,N0,Wall
8,1929.15,N1,Wall
8,43.8699,N0,Lumen
8,1937.51,N1,Lumen
9,352.683,N0,Wall
9,1928.67,N1,Wall
9,37.9523,N0,Lumen
9,1935.78,N1,Lumen
10,353.356,N0,Wall
10,1927.87,N1,Wall
10,33.6039,N0,Lumen
10,1932.86,N1,Lumen
11,354.178,N0,Wall
11,1926.9,N1,Wall
11,30.2937,N0,Lumen
11,1929.32,N1,Lumen
12,355.073,N0,Wall
12,1925.84,N1,Wall
12,27.7055,N0,Lumen
12,1925.48,N1,Lumen
13,355.996,N0,Wall
13,1924.74,N1,Wall
13,25.6395,N0,Lumen
13,1921.53,N1,Lumen
14,356.915,N0,Wall
14,1923.66,N1,Wall
14,23.9627,N0,Lumen
14,1917.62,N1,Lumen
15,357.812,N0,Wall
15,1922.6,N1,Wall
15,22.5829,N0,Lumen
15,1913.83,N1,Lumen
16,358.673,N0,Wall
16,1921.58,N1,Wall
16,21.4343,N0,Lumen
16,1910.2,N1,Lumen
17,359.491,N0,Wall
17,1920.61,N1,Wall
17,20.4687,N0,Lumen
17,1906.77,N1,Lumen
18,360.262,N0,Wall
18,1919.7,N1,Wall
18,19.6498,N0,Lumen
18,1903.55,N1,Lumen
19,360.984,N0,Wall
19,1918.85,N1,Wall
19,18.9497,N0,Lumen
19,1900.54,N1,Lumen
20,361.658,N0,Wall
20,1918.05,N1,Wall
20,18.3469,N0,Lumen
20,1897.74,N1,Lumen
21,362.286,N0,Wall
21,1917.31,N1,Wall
21,17.8244,N0,Lumen
21,1895.14,N1,Lumen
22,362.868,N0,Wall
22,1916.63,N1,Wall
22,17.3687,N0,Lumen
22,1892.74,N1,Lumen
23,363.408,N0,Wall
23,1915.99,N1,Wall
23,16.9689,N0,Lumen
23,1890.52,N1,Lumen
24,363.909,N0,Wall
24,1915.4,N1,Wall
24,16.6163,N0,Lumen
24,1888.46,N1,Lumen
25,364.374,N0,Wall
25,1914.86,N1,Wall
25,16.3037,N0,Lumen
25,1886.56,N1,Lumen
26,364.804,N0,Wall
26,1914.35,N1,Wall
26,16.0253,N0,Lumen
