pars,popsize,population,DXDT
0,1.85244e+06,N0,-1.27809e-07
0,5.83058e+07,N1,-3.53572e-06
1,1.75638e+06,N0,-1.21637e-07
1,5.83869e+07,N1,-3.55518e-06
2,1.69271e+06,N0,-1.17878e-07
2,5.84406e+07,N1,-3.5758e-06
3,1.64824e+06,N0,-1.13795e-07
3,5.84782e+07,N1,-3.54978e-06
4,1.61572e+06,N0,1.1174e-07
4,5.85056e+07,N1,3.55488e-06
5,1.59103e+06,N0,-1.096e-07
5,5.85265e+07,N1,-3.54294e-06
6,1.57172e+06,N0,-1.0871e-07
6,5.85428e+07,N1,-3.55726e-06
7,1.55623e+06,N0,1.07884e-07
7,5.85559e+07,N1,3.56724e-06
8,1.54354e+06,N0,1.06802e-07
8,5.85666e+07,N1,3.56185e-06
9,1.53296e+06,N0,-1.05865e-07
9,5.85755e+07,N1,-3.55423e-06
10,1.52402e+06,N0,-1.05449e-07
10,5.85831e+07,N1,-3.56073e-06
11,1.51636e+06,N0,-1.04817e-07
11,5.85896e+07,N1,-3.55662e-06
12,1.50973e+06,N0,-1.04228e-07
12,5.85952e+07,N1,-3.5536e-06
13,1.50394e+06,N0,1.03979e-07
13,5.86001e+07,N1,3.56041e-06
14,1.49883e+06,N0,1.034e-07
14,5.86044e+07,N1,3.55468e-06
15,1.4943e+06,N0,1.03024e-07
15,5.86082e+07,N1,3.54899e-06
16,1.49025e+06,N0,1.02944e-07
16,5.86116e+07,N1,3.55793e-06
17,1.48661e+06,N0,-1.02367e-07
17,5.86147e+07,N1,-3.54372e-06
18,1.48332e+06,N0,1.02471e-07
18,5.86175e+07,N1,3.55635e-06
19,1.48033e+06,N0,-1.02144e-07
19,5.862e+07,N1,-3.55522e-06
20,1.47761e+06,N0,1.02056e-07
20,5.86223e+07,N1,3.55624e-06
21,1.47511e+06,N0,1.01643e-07
21,5.86244e+07,N1,3.55127e-06
22,1.47282e+06,N0,1.01207e-07
22,5.86263e+07,N1,3.53963e-06
23,1.47071e+06,N0,1.01549e-07
23,5.86281e+07,N1,3.55739e-06
24,1.46875e+06,N0,-1.01652e-07
24,5.86298e+07,N1,-3.56255e-06
25,1.46693e+06,N0,-1.01836e-07
25,5.86313e+07,N1,-3.5752e-06
26,1.46524e+06,N0,-1.01938e-07
26,5.86327e+07,N1,-3.58378e-06
27,1.46367e+06,N0,-1.00925e-07
27,5.86341e+07,N1,-3.55127e-06
28,1.4622e+06,N0,1.00712e-07
28,5.86353e+07,N1,3.55216e-06
29,1.46082e+06,N0,-1.00328e-07
29,5.86365e+07,N1,-3.53982e-06
30,1.45952e+06,N0,1.00739e-07
30,5.86376e+07,N1,3.55868e-06
31,1.45831e+06,N0,-1.01134e-07
31,5.86386e+07,N1,-3.57464e-06
