pars,popsize,population,DXDT
0,1.91213e+07,N0,-3.82269e-07
0,0,N1,-9.98861e-07
1,1.90412e+07,N0,-3.86684e-07
1,0,N1,-9.7708e-07
2,1.89663e+07,N0,-3.71143e-07
2,0,N1,-9.90852e-07
3,1.88972e+07,N0,-3.58559e-07
3,0,N1,-9.86266e-07
4,1.88339e+07,N0,-3.57657e-07
4,0,N1,-9.85616e-07
5,1.87765e+07,N0,-3.51545e-07
5,0,N1,-9.8147e-07
6,1.87248e+07,N0,-3.49828e-07
6,0,N1,-9.84768e-07
7,1.86786e+07,N0,-3.38463e-07
7,0,N1,-9.858e-07
8,1.86375e+07,N0,-3.36906e-07
8,0,N1,-9.89973e-07
9,1.86011e+07,N0,-3.31027e-07
9,0,N1,-9.87316e-07
10,1.85689e+07,N0,-3.16169e-07
10,0,N1,-9.95473e-07
11,1.85403e+07,N0,-3.17377e-07
11,0,N1,-9.99033e-07
12,1.85151e+07,N0,-3.15136e-07
12,0,N1,-9.96795e-07
13,1.84926e+07,N0,-3.1259e-07
13,0,N1,-9.98511e-07
14,1.84727e+07,N0,-3.0949e-07
14,0,N1,-9.98579e-07
15,1.84549e+07,N0,-3.07948e-07
15,0,N1,-9.99659e-07
16,1.8439e+07,N0,-3.09345e-07
16,0,N1,-9.98755e-07
17,1.84246e+07,N0,-3.01457e-07
17,0,N1,-9.95289e-07
18,1.84118e+07,N0,-3.06492e-07
18,0,N1,-9.98049e-07
19,1.84001e+07,N0,-3.02418e-07
19,0,N1,-9.98815e-07
20,1.83895e+07,N0,-3.01166e-07
20,0,N1,-9.96848e-07
21,1.83799e+07,N0,-3.06201e-07
21,0,N1,-9.97576e-07
22,1.83711e+07,N0,-3.00934e-07
22,0,N1,-9.97852e-07
23,1.8363e+07,N0,-2.94182e-07
23,0,N1,-9.99695e-07
24,1.83556e+07,N0,-3.00992e-07
24,0,N1,-9.98856e-07
25,1.83488e+07,N0,-3.01254e-07
25,0,N1,-9.99912e-07
26,1.83425e+07,N0,-3.02534e-07
26,0,N1,-9.99614e-07
27,1.83366e+07,N0,-2.99275e-07
27,0,N1,-9.99834e-07
28,1.83312e+07,N0,2.7311e-06
28,0.0229862,N1,-1.46972e-06
29,1.83261e+07,N0,3.74387e-05
29,2.07447,N1,-3.92167e-05
30,1.83213e+07,N0,-0.00316053
30,138.506,N1,0.00320021
31,1.83102e+07,N0,-0.422326
31,6952.16,N1,0.427934
32,1.81094e+07,N0,-14.8872
32,206202,N1,15.0892
33,1.73788e+07,N0,-13.7165
33,943046,N1,13.9057
34,1.70237e+07,N0,-1.38946
34,1.29967e+06,N1,1.40894
35,1.67888e+07,N0,-0.122989
35,1.5348e+06,N1,0.124741
36,1.65778e+07,N0,-0.0119081
36,1.74591e+06,N1,0.0120785
37,1.63821e+07,N0,-0.00128575
37,1.94175e+06,N1,0.00130314
38,1.61996e+07,N0,-0.000155979
38,2.12432e+06,N1,0.000156871
39,1.60291e+07,N0,-1.9505e-05
39,2.29496e+06,N1,2.12251e-05
40,1.58695e+07,N0,-1.82609e-06
40,2.45482e+06,N1,3.30259e-06
41,1.57196e+07,N0,4.44212e-07
41,2.60488e+06,N1,9.98773e-07
