popsize,popid,c
6.12766e+07,N0,8.91251e-10
0.13175,N1,8.91251e-10
6.12766e+07,N0,7.94328e-10
0.000135187,N1,7.94328e-10
6.12766e+07,N0,7.07946e-10
7.12904e-05,N1,7.07946e-10
6.12766e+07,N0,6.30957e-10
5.07462e-05,N1,6.30957e-10
6.12766e+07,N0,5.62341e-10
4.09979e-05,N1,5.62341e-10
6.12766e+07,N0,5.01187e-10
3.64325e-05,N1,5.01187e-10
6.12766e+07,N0,4.46684e-10
2.91154e-05,N1,4.46684e-10
6.12766e+07,N0,3.98107e-10
2.94791e-05,N1,3.98107e-10
6.12766e+07,N0,3.54813e-10
2.84584e-05,N1,3.54813e-10
6.12766e+07,N0,3.16228e-10
2.03661e-05,N1,3.16228e-10
6.12766e+07,N0,2.81838e-10
2.02354e-05,N1,2.81838e-10
6.12766e+07,N0,2.51189e-10
2.31015e-05,N1,2.51189e-10
6.12766e+07,N0,2.23872e-10
2.03808e-05,N1,2.23872e-10
6.12766e+07,N0,1.99526e-10
2.18549e-05,N1,1.99526e-10
6.12766e+07,N0,1.77828e-10
1.69526e-05,N1,1.77828e-10
6.12766e+07,N0,1.58489e-10
2.14281e-05,N1,1.58489e-10
6.12766e+07,N0,1.41254e-10
1.43923e-05,N1,1.41254e-10
6.12766e+07,N0,1.25893e-10
1.51352e-05,N1,1.25893e-10
6.12766e+07,N0,1.12202e-10
1.43445e-05,N1,1.12202e-10
6.12766e+07,N0,1e-10
1.48575e-05,N1,1e-10
6.12766e+07,N0,8.91251e-11
1.3752e-05,N1,8.91251e-11
6.12766e+07,N0,7.94328e-11
1.63493e-05,N1,7.94328e-11
6.12766e+07,N0,7.07946e-11
1.43362e-05,N1,7.07946e-11
6.12766e+07,N0,6.30957e-11
1.57718e-05,N1,6.30957e-11
6.12766e+07,N0,5.62341e-11
1.59727e-05,N1,5.62341e-11
6.12766e+07,N0,5.01187e-11
1.2248e-05,N1,5.01187e-11
6.12766e+07,N0,4.46684e-11
1.15948e-05,N1,4.46684e-11
6.12766e+07,N0,3.98107e-11
1.64249e-05,N1,3.98107e-11
6.12766e+07,N0,3.54813e-11
1.76345e-05,N1,3.54813e-11
6.12766e+07,N0,3.16228e-11
1.57992e-05,N1,3.16228e-11
6.12766e+07,N0,2.81838e-11
1.79865e-05,N1,2.81838e-11
6.12766e+07,N0,2.51189e-11
1.27627e-05,N1,2.51189e-11
6.12766e+07,N0,2.23872e-11
1.16527e-05,N1,2.23872e-11
6.12766e+07,N0,1.99526e-11
1.61428e-05,N1,1.99526e-11
6.12766e+07,N0,1.77828e-11
1.46627e-05,N1,1.77828e-11
6.12766e+07,N0,1.58489e-11
1.31857e-05,N1,1.58489e-11
6.12766e+07,N0,1.41254e-11
1.45683e-05,N1,1.41254e-11
6.12766e+07,N0,1.25893e-11
1.70413e-05,N1,1.25893e-11
6.12766e+07,N0,1.12202e-11
1.40921e-05,N1,1.12202e-11
6.12766e+07,N0,1e-11
1.5355e-05,N1,1e-11
6.12766e+07,N0,8.91251e-12
1.75558e-05,N1,8.91251e-12
6.12766e+07,N0,7.94328e-12
1.75569e-05,N1,7.94328e-12
6.12766e+07,N0,7.07946e-12
1.34323e-05,N1,7.07946e-12
6.12766e+07,N0,6.30957e-12
1.11674e-05,N1,6.30957e-12
6.12766e+07,N0,5.62341e-12
1.08151e-05,N1,5.62341e-12
6.12766e+07,N0,5.01187e-12
1.19676e-05,N1,5.01187e-12
6.12766e+07,N0,4.46684e-12
1.56401e-05,N1,4.46684e-12
6.12766e+07,N0,3.98107e-12
1.47446e-05,N1,3.98107e-12
6.12766e+07,N0,3.54813e-12
1.50114e-05,N1,3.54813e-12
6.12766e+07,N0,3.16228e-12
1.49517e-05,N1,3.16228e-12
6.12766e+07,N0,2.81838e-12
1.7258e-05,N1,2.81838e-12
6.12766e+07,N0,2.51189e-12
1.34233e-05,N1,2.51189e-12
6.12766e+07,N0,2.23872e-12
1.54092e-05,N1,2.23872e-12
6.12766e+07,N0,1.99526e-12
1.67576e-05,N1,1.99526e-12
6.12766e+07,N0,1.77828e-12
1.08803e-05,N1,1.77828e-12
6.12766e+07,N0,1.58489e-12
1.07358e-05,N1,1.58489e-12
6.12766e+07,N0,1.41254e-12
1.7404e-05,N1,1.41254e-12
6.12766e+07,N0,1.25893e-12
1.17376e-05,N1,1.25893e-12
6.12766e+07,N0,1.12202e-12
1.25639e-05,N1,1.12202e-12
