N0,N1,Sin,c
316.487,2.35768e+07,34,3.16228e-06
316.471,2.51768e+07,35,3.16228e-06
316.456,2.67768e+07,36,3.16228e-06
316.443,2.83768e+07,37,3.16228e-06
316.432,2.99768e+07,38,3.16228e-06
316.421,3.15768e+07,39,3.16228e-06
316.412,3.31768e+07,40,3.16228e-06
316.404,3.47767e+07,41,3.16228e-06
316.396,3.63767e+07,42,3.16228e-06
316.389,3.79767e+07,43,3.16228e-06
316.382,3.95767e+07,44,3.16228e-06
316.376,4.11767e+07,45,3.16228e-06
316.371,4.27767e+07,46,3.16228e-06
316.366,4.43767e+07,47,3.16228e-06
316.361,4.59767e+07,48,3.16228e-06
316.356,4.75767e+07,49,3.16228e-06
316.352,4.91767e+07,50,3.16228e-06
316.348,5.07767e+07,51,3.16228e-06
316.344,5.23767e+07,52,3.16228e-06
316.341,5.39767e+07,53,3.16228e-06
316.338,5.55767e+07,54,3.16228e-06
316.335,5.71767e+07,55,3.16228e-06
316.332,5.87767e+07,56,3.16228e-06
316.329,6.03767e+07,57,3.16228e-06
316.326,6.19767e+07,58,3.16228e-06
316.324,6.35767e+07,59,3.16228e-06
316.322,6.51767e+07,60,3.16228e-06
316.319,6.67767e+07,61,3.16228e-06
316.317,6.83767e+07,62,3.16228e-06
316.315,6.99767e+07,63,3.16228e-06
316.313,7.15767e+07,64,3.16228e-06
316.311,7.31767e+07,65,3.16228e-06
316.31,7.47767e+07,66,3.16228e-06
316.308,7.63766e+07,67,3.16228e-06
316.306,7.79766e+07,68,3.16228e-06
316.305,7.95766e+07,69,3.16228e-06
316.303,8.11766e+07,70,3.16228e-06
316.302,8.27766e+07,71,3.16228e-06
316.3,8.43766e+07,72,3.16228e-06
316.299,8.59766e+07,73,3.16228e-06
316.298,8.75766e+07,74,3.16228e-06
316.296,8.91766e+07,75,3.16228e-06
316.295,9.07766e+07,76,3.16228e-06
316.294,9.23766e+07,77,3.16228e-06
316.293,9.39766e+07,78,3.16228e-06
316.292,9.55766e+07,79,3.16228e-06
316.291,9.71766e+07,80,3.16228e-06
316.29,9.87766e+07,81,3.16228e-06
316.289,1.00377e+08,82,3.16228e-06
316.288,1.01977e+08,83,3.16228e-06
316.287,1.03577e+08,84,3.16228e-06
316.286,1.05177e+08,85,3.16228e-06
316.285,1.06777e+08,86,3.16228e-06
316.284,1.08377e+08,87,3.16228e-06
316.283,1.09977e+08,88,3.16228e-06
316.283,1.11577e+08,89,3.16228e-06
316.282,1.13177e+08,90,3.16228e-06
316.281,1.14777e+08,91,3.16228e-06
316.28,1.16377e+08,92,3.16228e-06
316.28,1.17977e+08,93,3.16228e-06
316.279,1.19577e+08,94,3.16228e-06
316.278,1.21177e+08,95,3.16228e-06
316.278,1.22777e+08,96,3.16228e-06
316.277,1.24377e+08,97,3.16228e-06
316.276,1.25977e+08,98,3.16228e-06
316.276,1.27577e+08,99,3.16228e-06
316.275,1.29177e+08,100,3.16228e-06
316.275,1.30777e+08,101,3.16228e-06
316.274,1.32377e+08,102,3.16228e-06
316.273,1.33977e+08,103,3.16228e-06
316.273,1.35577e+08,104,3.16228e-06
316.272,1.37177e+08,105,3.16228e-06
316.272,1.38777e+08,106,3.16228e-06
316.271,1.40377e+08,107,3.16228e-06
316.271,1.41977e+08,108,3.16228e-06
316.27,1.43577e+08,109,3.16228e-06
316.27,1.45177e+08,110,3.16228e-06
316.269,1.46777e+08,111,3.16228e-06
316.269,1.48377e+08,112,3.16228e-06
316.269,1.49977e+08,113,3.16228e-06
316.268,1.51577e+08,114,3.16228e-06
316.268,1.53177e+08,115,3.16228e-06
316.267,1.54777e+08,116,3.16228e-06
316.267,1.56377e+08,117,3.16228e-06
316.266,1.57977e+08,118,3.16228e-06
316.266,1.59577e+08,119,3.16228e-06
316.266,1.61177e+08,120,3.16228e-06
316.265,1.62777e+08,121,3.16228e-06
316.265,1.64377e+08,122,3.16228e-06
