time,size,population,location
63.7206,2231.88,N0,Wall
63.7206,0.407425,N1,Wall
63.7206,0,AB,Wall
63.7206,5.26021,R,Lumen
63.7206,1017.02,N0,Lumen
63.7206,4.86671,N1,Lumen
63.7206,23.0158,AB,Lumen
63.7975,2.04906,R,Wall
63.7975,2231.88,N0,Wall
63.7975,0.411065,N1,Wall
63.7975,0,AB,Wall
63.7975,5.26088,R,Lumen
63.7975,1016.93,N0,Lumen
63.7975,4.90782,N1,Lumen
63.7975,23.0161,AB,Lumen
63.8744,2.04906,R,Wall
63.8744,2231.87,N0,Wall
63.8744,0.414742,N1,Wall
63.8744,0,AB,Wall
63.8744,5.26154,R,Lumen
63.8744,1016.83,N0,Lumen
63.8744,4.94936,N1,Lumen
63.8744,23.0165,AB,Lumen
63.9516,2.04906,R,Wall
63.9516,2231.87,N0,Wall
63.9516,0.418457,N1,Wall
63.9516,0,AB,Wall
63.9516,5.26218,R,Lumen
63.9516,1016.74,N0,Lumen
63.9516,4.99132,N1,Lumen
63.9516,23.0169,AB,Lumen
64.0288,2.04906,R,Wall
64.0288,2231.87,N0,Wall
64.0288,0.42221,N1,Wall
64.0288,0,AB,Wall
64.0288,5.26282,R,Lumen
64.0288,1016.65,N0,Lumen
64.0288,5.03373,N1,Lumen
64.0288,23.0173,AB,Lumen
64.1063,2.04905,R,Wall
64.1063,2231.87,N0,Wall
64.1063,0.426003,N1,Wall
64.1063,0,AB,Wall
64.1063,5.26344,R,Lumen
64.1063,1016.57,N0,Lumen
64.1063,5.07659,N1,Lumen
64.1063,23.0176,AB,Lumen
64.1838,2.04905,R,Wall
64.1838,2231.86,N0,Wall
64.1838,0.429836,N1,Wall
64.1838,0,AB,Wall
64.1838,5.26405,R,Lumen
64.1838,1016.48,N0,Lumen
64.1838,5.11992,N1,Lumen
64.1838,23.018,AB,Lumen
64.2616,2.04905,R,Wall
64.2616,2231.86,N0,Wall
64.2616,0.433711,N1,Wall
64.2616,0,AB,Wall
64.2616,5.26465,R,Lumen
64.2616,1016.39,N0,Lumen
64.2616,5.16372,N1,Lumen
64.2616,23.0184,AB,Lumen
64.3395,2.04905,R,Wall
64.3395,2231.86,N0,Wall
64.3395,0.437627,N1,Wall
64.3395,0,AB,Wall
64.3395,5.26524,R,Lumen
64.3395,1016.31,N0,Lumen
64.3395,5.208,N1,Lumen
64.3395,23.0188,AB,Lumen
64.4177,2.04905,R,Wall
64.4177,2231.86,N0,Wall
64.4177,0.441586,N1,Wall
64.4177,0,AB,Wall
64.4177,5.26581,R,Lumen
64.4177,1016.23,N0,Lumen
64.4177,5.25278,N1,Lumen
64.4177,23.0191,AB,Lumen
64.496,2.04905,R,Wall
64.496,2231.85,N0,Wall
64.496,0.44559,N1,Wall
64.496,0,AB,Wall
64.496,5.26638,R,Lumen
64.496,1016.15,N0,Lumen
64.496,5.29806,N1,Lumen
64.496,23.0195,AB,Lumen
64.5745,2.04905,R,Wall
64.5745,2231.85,N0,Wall
64.5745,0.449639,N1,Wall
64.5745,0,AB,Wall
64.5745,5.26693,R,Lumen
64.5745,1016.07,N0,Lumen
64.5745,5.34387,N1,Lumen
64.5745,23.0199,AB,Lumen
64.6533,2.04905,R,Wall
64.6533,2231.85,N0,Wall
64.6533,0.453733,N1,Wall
64.6533,0,AB,Wall
64.6533,5.26748,R,Lumen
64.6533,1015.99,N0,Lumen
64.6533,5.3902,N1,Lumen
64.6533,23.0202,AB,Lumen
64.7322,2.04905,R,Wall
64.7322,2231.85,N0,Wall
64.7322,0.457875,N1,Wall
64.7322,0,AB,Wall
64.7322,5.26801,R,Lumen
64.7322,1015.91,N0,Lumen
64.7322,5.43706,N1,Lumen
64.7322,23.0206,AB,Lumen
64.8114,2.04905,R,Wall
64.8114,2231.84,N0,Wall
64.8114,0.462065,N1,Wall
64.8114,0,AB,Wall
64.8114,5.26853,R,Lumen
64.8114,1015.83,N0,Lumen
64.8114,5.48449,N1,Lumen
64.8114,23.0209,AB,Lumen
64.8908,2.04904,R,Wall
64.8908,2231.84,N0,Wall
64.8908,0.466303,N1,Wall
64.8908,0,AB,Wall
64.8908,5.26905,R,Lumen
64.8908,1015.76,N0,Lumen
64.8908,5.53247,N1,Lumen
64.8908,23.0213,AB,Lumen
64.9705,2.04904,R,Wall
64.9705,2231.84,N0,Wall
64.9705,0.470593,N1,Wall
64.9705,0,AB,Wall
64.9705,5.26955,R,Lumen
64.9705,1015.68,N0,Lumen
64.9705,5.58103,N1,Lumen
64.9705,23.0217,AB,Lumen
65.0504,2.04904,R,Wall
65.0504,2231.84,N0,Wall
65.0504,0.474933,N1,Wall
65.0504,0,AB,Wall
65.0504,5.27004,R,Lumen
65.0504,1015.61,N0,Lumen
65.0504,5.63018,N1,Lumen
65.0504,23.022,AB,Lumen
65.1306,2.04904,R,Wall
65.1306,2231.83,N0,Wall
65.1306,0.479326,N1,Wall
65.1306,0,AB,Wall
65.1306,5.27051,R,Lumen
65.1306,1015.54,N0,Lumen
65.1306,5.67993,N1,Lumen
65.1306,23.0224,AB,Lumen
65.211,2.04904,R,Wall
65.211,2231.83,N0,Wall
65.211,0.483773,N1,Wall
65.211,0,AB,Wall
65.211,5.27098,R,Lumen
65.211,1015.47,N0,Lumen
65.211,5.7303,N1,Lumen
65.211,23.0227,AB,Lumen
65.2918,2.04904,R,Wall
65.2918,2231.83,N0,Wall
65.2918,0.488274,N1,Wall
65.2918,0,AB,Wall
65.2918,5.27144,R,Lumen
65.2918,1015.4,N0,Lumen
65.2918,5.78129,N1,Lumen
65.2918,23.023,AB,Lumen
65.3728,2.04904,R,Wall
65.3728,2231.82,N0,Wall
65.3728,0.492832,N1,Wall
65.3728,0,AB,Wall
65.3728,5.27189,R,Lumen
65.3728,1015.33,N0,Lumen
65.3728,5.83293,N1,Lumen
65.3728,23.0234,AB,Lumen
65.4541,2.04904,R,Wall
65.4541,2231.82,N0,Wall
65.4541,0.497447,N1,Wall
65.4541,0,AB,Wall
65.4541,5.27232,R,Lumen
65.4541,1015.26,N0,Lumen
65.4541,5.88522,N1,Lumen
65.4541,23.0237,AB,Lumen
65.5357,2.04903,R,Wall
65.5357,2231.82,N0,Wall
65.5357,0.502121,N1,Wall
65.5357,0,AB,Wall
65.5357,5.27275,R,Lumen
65.5357,1015.2,N0,Lumen
65.5357,5.93819,N1,Lumen
65.5357,23.024,AB,Lumen
65.6176,2.04903,R,Wall
65.6176,2231.81,N0,Wall
65.6176,0.506854,N1,Wall
65.6176,0,AB,Wall
65.6176,5.27316,R,Lumen
65.6176,1015.13,N0,Lumen
65.6176,5.99184,N1,Lumen
65.6176,23.0244,AB,Lumen
65.6998,2.04903,R,Wall
65.6998,2231.81,N0,Wall
65.6998,0.511649,N1,Wall
65.6998,0,AB,Wall
65.6998,5.27357,R,Lumen
65.6998,1015.06,N0,Lumen
65.6998,6.04619,N1,Lumen
65.6998,23.0247,AB,Lumen
65.7824,2.04903,R,Wall
65.7824,2231.81,N0,Wall
65.7824,0.516507,N1,Wall
65.7824,0,AB,Wall
65.7824,5.27396,R,Lumen
65.7824,1015,N0,Lumen
65.7824,6.10126,N1,Lumen
65.7824,23.025,AB,Lumen
65.8653,2.04903,R,Wall
65.8653,2231.81,N0,Wall
65.8653,0.521428,N1,Wall
65.8653,0,AB,Wall
65.8653,5.27435,R,Lumen
65.8653,1014.94,N0,Lumen
65.8653,6.15706,N1,Lumen
65.8653,23.0253,AB,Lumen
65.9485,2.04903,R,Wall
65.9485,2231.8,N0,Wall
65.9485,0.526415,N1,Wall
65.9485,0,AB,Wall
65.9485,5.27472,R,Lumen
65.9485,1014.87,N0,Lumen
65.9485,6.21361,N1,Lumen
65.9485,23.0256,AB,Lumen
66.0321,2.04903,R,Wall
66.0321,2231.8,N0,Wall
66.0321,0.53147,N1,Wall
66.0321,0,AB,Wall
66.0321,5.27508,R,Lumen
66.0321,1014.81,N0,Lumen
66.0321,6.27093,N1,Lumen
66.0321,23.0259,AB,Lumen
66.116,2.04903,R,Wall
66.116,2231.8,N0,Wall
66.116,0.536593,N1,Wall
66.116,0,AB,Wall
66.116,5.27544,R,Lumen
66.116,1014.75,N0,Lumen
66.116,6.32904,N1,Lumen
66.116,23.0262,AB,Lumen
66.2004,2.04902,R,Wall
66.2004,2231.79,N0,Wall
66.2004,0.541786,N1,Wall
66.2004,0,AB,Wall
66.2004,5.27578,R,Lumen
66.2004,1014.69,N0,Lumen
66.2004,6.38794,N1,Lumen
66.2004,23.0265,AB,Lumen
66.285,2.04902,R,Wall
66.285,2231.79,N0,Wall
66.285,0.547051,N1,Wall
66.285,0,AB,Wall
66.285,5.27611,R,Lumen
66.285,1014.63,N0,Lumen
66.285,6.44767,N1,Lumen
66.285,23.0268,AB,Lumen
66.3701,2.04902,R,Wall
66.3701,2231.79,N0,Wall
66.3701,0.552389,N1,Wall
66.3701,0,AB,Wall
66.3701,5.27643,R,Lumen
66.3701,1014.57,N0,Lumen
66.3701,6.50823,N1,Lumen
66.3701,23.0271,AB,Lumen
66.4556,2.04902,R,Wall
66.4556,2231.78,N0,Wall
66.4556,0.557802,N1,Wall
66.4556,0,AB,Wall
66.4556,5.27674,R,Lumen
66.4556,1014.51,N0,Lumen
66.4556,6.56966,N1,Lumen
66.4556,23.0274,AB,Lumen
66.5415,2.04902,R,Wall
66.5415,2231.78,N0,Wall
66.5415,0.563293,N1,Wall
66.5415,0,AB,Wall
66.5415,5.27705,R,Lumen
66.5415,1014.45,N0,Lumen
66.5415,6.63196,N1,Lumen
66.5415,23.0277,AB,Lumen
66.6278,2.04902,R,Wall
66.6278,2231.77,N0,Wall
66.6278,0.568862,N1,Wall
66.6278,0,AB,Wall
66.6278,5.27734,R,Lumen
66.6278,1014.39,N0,Lumen
66.6278,6.69516,N1,Lumen
66.6278,23.0279,AB,Lumen
66.7145,2.04901,R,Wall
66.7145,2231.77,N0,Wall
66.7145,0.574512,N1,Wall
66.7145,0,AB,Wall
66.7145,5.27762,R,Lumen
66.7145,1014.34,N0,Lumen
66.7145,6.75928,N1,Lumen
66.7145,23.0282,AB,Lumen
66.8016,2.04901,R,Wall
66.8016,2231.77,N0,Wall
66.8016,0.580244,N1,Wall
66.8016,0,AB,Wall
66.8016,5.27789,R,Lumen
66.8016,1014.28,N0,Lumen
66.8016,6.82435,N1,Lumen
66.8016,23.0284,AB,Lumen
66.8892,2.04901,R,Wall
66.8892,2231.76,N0,Wall
66.8892,0.586061,N1,Wall
66.8892,0,AB,Wall
66.8892,5.27815,R,Lumen
66.8892,1014.22,N0,Lumen
66.8892,6.89038,N1,Lumen
66.8892,23.0287,AB,Lumen
66.9772,2.04901,R,Wall
66.9772,2231.76,N0,Wall
66.9772,0.591964,N1,Wall
66.9772,0,AB,Wall
66.9772,5.2784,R,Lumen
66.9772,1014.17,N0,Lumen
66.9772,6.9574,N1,Lumen
66.9772,23.0289,AB,Lumen
67.0657,2.04901,R,Wall
67.0657,2231.76,N0,Wall
67.0657,0.597956,N1,Wall
67.0657,0,AB,Wall
67.0657,5.27864,R,Lumen
67.0657,1014.11,N0,Lumen
67.0657,7.02542,N1,Lumen
67.0657,23.0292,AB,Lumen
67.1546,2.04901,R,Wall
67.1546,2231.75,N0,Wall
67.1546,0.604039,N1,Wall
67.1546,0,AB,Wall
67.1546,5.27887,R,Lumen
67.1546,1014.06,N0,Lumen
67.1546,7.09449,N1,Lumen
67.1546,23.0294,AB,Lumen
67.2441,2.04901,R,Wall
67.2441,2231.75,N0,Wall
67.2441,0.610215,N1,Wall
67.2441,0,AB,Wall
67.2441,5.27909,R,Lumen
67.2441,1014,N0,Lumen
67.2441,7.16461,N1,Lumen
67.2441,23.0296,AB,Lumen
67.334,2.049,R,Wall
67.334,2231.74,N0,Wall
67.334,0.616486,N1,Wall
67.334,0,AB,Wall
67.334,5.2793,R,Lumen
67.334,1013.95,N0,Lumen
67.334,7.23582,N1,Lumen
67.334,23.0299,AB,Lumen
67.4244,2.049,R,Wall
67.4244,2231.74,N0,Wall
67.4244,0.622854,N1,Wall
67.4244,0,AB,Wall
67.4244,5.2795,R,Lumen
67.4244,1013.89,N0,Lumen
67.4244,7.30814,N1,Lumen
67.4244,23.0301,AB,Lumen
67.5154,2.049,R,Wall
67.5154,2231.74,N0,Wall
67.5154,0.629322,N1,Wall
67.5154,0,AB,Wall
67.5154,5.27969,R,Lumen
67.5154,1013.84,N0,Lumen
67.5154,7.38161,N1,Lumen
67.5154,23.0303,AB,Lumen
67.6068,2.049,R,Wall
67.6068,2231.73,N0,Wall
67.6068,0.635893,N1,Wall
67.6068,0,AB,Wall
67.6068,5.27988,R,Lumen
67.6068,1013.78,N0,Lumen
67.6068,7.45624,N1,Lumen
67.6068,23.0305,AB,Lumen
67.6988,2.049,R,Wall
67.6988,2231.73,N0,Wall
67.6988,0.642569,N1,Wall
67.6988,0,AB,Wall
67.6988,5.28005,R,Lumen
67.6988,1013.73,N0,Lumen
67.6988,7.53207,N1,Lumen
67.6988,23.0307,AB,Lumen
67.7913,2.04899,R,Wall
67.7913,2231.72,N0,Wall
67.7913,0.649353,N1,Wall
67.7913,0,AB,Wall
67.7913,5.28021,R,Lumen
67.7913,1013.68,N0,Lumen
67.7913,7.60912,N1,Lumen
67.7913,23.0309,AB,Lumen
67.8844,2.04899,R,Wall
67.8844,2231.72,N0,Wall
67.8844,0.656247,N1,Wall
67.8844,0,AB,Wall
67.8844,5.28036,R,Lumen
67.8844,1013.62,N0,Lumen
67.8844,7.68743,N1,Lumen
67.8844,23.031,AB,Lumen
67.978,2.04899,R,Wall
67.978,2231.71,N0,Wall
67.978,0.663254,N1,Wall
67.978,0,AB,Wall
67.978,5.2805,R,Lumen
67.978,1013.57,N0,Lumen
67.978,7.76704,N1,Lumen
67.978,23.0312,AB,Lumen
68.0722,2.04899,R,Wall
68.0722,2231.71,N0,Wall
68.0722,0.670377,N1,Wall
68.0722,0,AB,Wall
68.0722,5.28063,R,Lumen
68.0722,1013.52,N0,Lumen
68.0722,7.84796,N1,Lumen
68.0722,23.0314,AB,Lumen
68.167,2.04899,R,Wall
68.167,2231.7,N0,Wall
68.167,0.67762,N1,Wall
68.167,0,AB,Wall
68.167,5.28075,R,Lumen
68.167,1013.46,N0,Lumen
68.167,7.93024,N1,Lumen
68.167,23.0315,AB,Lumen
68.2624,2.04898,R,Wall
68.2624,2231.7,N0,Wall
68.2624,0.684984,N1,Wall
68.2624,0,AB,Wall
68.2624,5.28087,R,Lumen
68.2624,1013.41,N0,Lumen
68.2624,8.01391,N1,Lumen
68.2624,23.0317,AB,Lumen
68.3584,2.04898,R,Wall
68.3584,2231.7,N0,Wall
68.3584,0.692473,N1,Wall
68.3584,0,AB,Wall
68.3584,5.28097,R,Lumen
68.3584,1013.36,N0,Lumen
68.3584,8.099,N1,Lumen
68.3584,23.0318,AB,Lumen
68.455,2.04898,R,Wall
68.455,2231.69,N0,Wall
68.455,0.700091,N1,Wall
68.455,0,AB,Wall
68.455,5.28106,R,Lumen
68.455,1013.3,N0,Lumen
68.455,8.18556,N1,Lumen
68.455,23.032,AB,Lumen
68.5523,2.04898,R,Wall
68.5523,2231.69,N0,Wall
68.5523,0.707841,N1,Wall
68.5523,0,AB,Wall
68.5523,5.28114,R,Lumen
68.5523,1013.25,N0,Lumen
68.5523,8.27362,N1,Lumen
68.5523,23.0321,AB,Lumen
68.6502,2.04898,R,Wall
68.6502,2231.68,N0,Wall
68.6502,0.715726,N1,Wall
68.6502,0,AB,Wall
68.6502,5.28122,R,Lumen
68.6502,1013.2,N0,Lumen
68.6502,8.36321,N1,Lumen
68.6502,23.0322,AB,Lumen
68.7487,2.04897,R,Wall
68.7487,2231.68,N0,Wall
68.7487,0.723749,N1,Wall
68.7487,0,AB,Wall
68.7487,5.28128,R,Lumen
68.7487,1013.14,N0,Lumen
68.7487,8.45439,N1,Lumen
68.7487,23.0323,AB,Lumen
68.8479,2.04897,R,Wall
68.8479,2231.67,N0,Wall
68.8479,0.731915,N1,Wall
68.8479,0,AB,Wall
68.8479,5.28133,R,Lumen
68.8479,1013.09,N0,Lumen
68.8479,8.54718,N1,Lumen
68.8479,23.0324,AB,Lumen
68.9478,2.04897,R,Wall
68.9478,2231.66,N0,Wall
68.9478,0.740227,N1,Wall
68.9478,0,AB,Wall
68.9478,5.28138,R,Lumen
68.9478,1013.03,N0,Lumen
68.9478,8.64164,N1,Lumen
68.9478,23.0325,AB,Lumen
69.0484,2.04897,R,Wall
69.0484,2231.66,N0,Wall
69.0484,0.74869,N1,Wall
69.0484,0,AB,Wall
69.0484,5.28141,R,Lumen
69.0484,1012.98,N0,Lumen
69.0484,8.73781,N1,Lumen
69.0484,23.0326,AB,Lumen
69.1496,2.04897,R,Wall
69.1496,2231.65,N0,Wall
69.1496,0.757306,N1,Wall
69.1496,0,AB,Wall
69.1496,5.28144,R,Lumen
69.1496,1012.92,N0,Lumen
69.1496,8.83572,N1,Lumen
69.1496,23.0327,AB,Lumen
69.2516,2.04896,R,Wall
69.2516,2231.65,N0,Wall
69.2516,0.76608,N1,Wall
69.2516,0,AB,Wall
69.2516,5.28145,R,Lumen
69.2516,1012.87,N0,Lumen
69.2516,8.93543,N1,Lumen
69.2516,23.0327,AB,Lumen
69.3543,2.04896,R,Wall
69.3543,2231.64,N0,Wall
69.3543,0.775016,N1,Wall
69.3543,0,AB,Wall
69.3543,5.28146,R,Lumen
69.3543,1012.81,N0,Lumen
69.3543,9.03699,N1,Lumen
69.3543,23.0328,AB,Lumen
69.4578,2.04896,R,Wall
69.4578,2231.64,N0,Wall
69.4578,0.784119,N1,Wall
69.4578,0,AB,Wall
69.4578,5.28145,R,Lumen
69.4578,1012.75,N0,Lumen
69.4578,9.14044,N1,Lumen
69.4578,23.0328,AB,Lumen
69.5619,2.04896,R,Wall
69.5619,2231.63,N0,Wall
69.5619,0.793393,N1,Wall
69.5619,0,AB,Wall
69.5619,5.28144,R,Lumen
69.5619,1012.7,N0,Lumen
69.5619,9.24583,N1,Lumen
69.5619,23.0329,AB,Lumen
69.6669,2.04895,R,Wall
69.6669,2231.62,N0,Wall
69.6669,0.802842,N1,Wall
69.6669,0,AB,Wall
69.6669,5.28141,R,Lumen
69.6669,1012.64,N0,Lumen
69.6669,9.35322,N1,Lumen
69.6669,23.0329,AB,Lumen
69.7726,2.04895,R,Wall
69.7726,2231.62,N0,Wall
69.7726,0.812472,N1,Wall
69.7726,0,AB,Wall
69.7726,5.28138,R,Lumen
69.7726,1012.58,N0,Lumen
69.7726,9.46265,N1,Lumen
69.7726,23.0329,AB,Lumen
69.8791,2.04895,R,Wall
69.8791,2231.61,N0,Wall
69.8791,0.822286,N1,Wall
69.8791,0,AB,Wall
69.8791,5.28134,R,Lumen
69.8791,1012.52,N0,Lumen
69.8791,9.57419,N1,Lumen
69.8791,23.0329,AB,Lumen
69.9864,2.04894,R,Wall
69.9864,2231.61,N0,Wall
69.9864,0.83229,N1,Wall
69.9864,0,AB,Wall
69.9864,5.28128,R,Lumen
69.9864,1012.46,N0,Lumen
69.9864,9.68788,N1,Lumen
69.9864,23.0329,AB,Lumen
70.0945,2.04894,R,Wall
70.0945,2231.6,N0,Wall
70.0945,0.84249,N1,Wall
70.0945,0,AB,Wall
70.0945,5.28122,R,Lumen
70.0945,1012.4,N0,Lumen
70.0945,9.80379,N1,Lumen
70.0945,23.0329,AB,Lumen
70.2034,2.04894,R,Wall
70.2034,2231.59,N0,Wall
70.2034,0.852889,N1,Wall
70.2034,0,AB,Wall
70.2034,5.28115,R,Lumen
70.2034,1012.34,N0,Lumen
70.2034,9.92197,N1,Lumen
70.2034,23.0329,AB,Lumen
70.3131,2.04894,R,Wall
70.3131,2231.59,N0,Wall
70.3131,0.863493,N1,Wall
70.3131,0,AB,Wall
70.3131,5.28107,R,Lumen
70.3131,1012.28,N0,Lumen
70.3131,10.0425,N1,Lumen
70.3131,23.0329,AB,Lumen
70.4237,2.04893,R,Wall
70.4237,2231.58,N0,Wall
70.4237,0.874309,N1,Wall
70.4237,0,AB,Wall
70.4237,5.28098,R,Lumen
70.4237,1012.21,N0,Lumen
70.4237,10.1654,N1,Lumen
70.4237,23.0328,AB,Lumen
70.5351,2.04893,R,Wall
70.5351,2231.57,N0,Wall
70.5351,0.88534,N1,Wall
70.5351,0,AB,Wall
70.5351,5.28087,R,Lumen
70.5351,1012.15,N0,Lumen
70.5351,10.2907,N1,Lumen
70.5351,23.0328,AB,Lumen
70.6473,2.04893,R,Wall
70.6473,2231.56,N0,Wall
70.6473,0.896593,N1,Wall
70.6473,0,AB,Wall
70.6473,5.28076,R,Lumen
70.6473,1012.08,N0,Lumen
70.6473,10.4186,N1,Lumen
70.6473,23.0327,AB,Lumen
70.7604,2.04892,R,Wall
70.7604,2231.56,N0,Wall
70.7604,0.908074,N1,Wall
70.7604,0,AB,Wall
70.7604,5.28064,R,Lumen
70.7604,1012.02,N0,Lumen
70.7604,10.5491,N1,Lumen
70.7604,23.0327,AB,Lumen
70.8744,2.04892,R,Wall
70.8744,2231.55,N0,Wall
70.8744,0.919788,N1,Wall
70.8744,0,AB,Wall
70.8744,5.28051,R,Lumen
70.8744,1011.95,N0,Lumen
70.8744,10.6822,N1,Lumen
70.8744,23.0326,AB,Lumen
70.9893,2.04892,R,Wall
70.9893,2231.54,N0,Wall
70.9893,0.93174,N1,Wall
70.9893,0,AB,Wall
70.9893,5.28037,R,Lumen
70.9893,1011.88,N0,Lumen
70.9893,10.818,N1,Lumen
70.9893,23.0325,AB,Lumen
71.105,2.04891,R,Wall
71.105,2231.53,N0,Wall
71.105,0.943938,N1,Wall
71.105,0,AB,Wall
71.105,5.28022,R,Lumen
71.105,1011.81,N0,Lumen
71.105,10.9566,N1,Lumen
71.105,23.0324,AB,Lumen
71.2216,2.04891,R,Wall
71.2216,2231.53,N0,Wall
71.2216,0.956387,N1,Wall
71.2216,0,AB,Wall
71.2216,5.28006,R,Lumen
71.2216,1011.74,N0,Lumen
71.2216,11.098,N1,Lumen
71.2216,23.0323,AB,Lumen
71.3391,2.04891,R,Wall
71.3391,2231.52,N0,Wall
71.3391,0.969093,N1,Wall
71.3391,0,AB,Wall
71.3391,5.27989,R,Lumen
71.3391,1011.67,N0,Lumen
71.3391,11.2424,N1,Lumen
71.3391,23.0321,AB,Lumen
71.4575,2.0489,R,Wall
71.4575,2231.51,N0,Wall
71.4575,0.982062,N1,Wall
71.4575,0,AB,Wall
71.4575,5.27972,R,Lumen
71.4575,1011.59,N0,Lumen
71.4575,11.3897,N1,Lumen
71.4575,23.032,AB,Lumen
71.5768,2.0489,R,Wall
71.5768,2231.5,N0,Wall
71.5768,0.995301,N1,Wall
71.5768,0,AB,Wall
71.5768,5.27953,R,Lumen
71.5768,1011.52,N0,Lumen
71.5768,11.5401,N1,Lumen
71.5768,23.0318,AB,Lumen
71.697,2.0489,R,Wall
71.697,2231.49,N0,Wall
71.697,1.00881,N1,Wall
71.697,0,AB,Wall
71.697,5.27933,R,Lumen
71.697,1011.44,N0,Lumen
71.697,11.6936,N1,Lumen
71.697,23.0317,AB,Lumen
71.818,2.04889,R,Wall
71.818,2231.48,N0,Wall
71.818,1.02261,N1,Wall
71.818,0,AB,Wall
71.818,5.27912,R,Lumen
71.818,1011.36,N0,Lumen
71.818,11.8503,N1,Lumen
71.818,23.0315,AB,Lumen
71.94,2.04889,R,Wall
71.94,2231.47,N0,Wall
71.94,1.03669,N1,Wall
71.94,0,AB,Wall
71.94,5.27891,R,Lumen
71.94,1011.28,N0,Lumen
71.94,12.0103,N1,Lumen
71.94,23.0313,AB,Lumen
72.0628,2.04889,R,Wall
72.0628,2231.47,N0,Wall
72.0628,1.05107,N1,Wall
72.0628,0,AB,Wall
72.0628,5.27868,R,Lumen
72.0628,1011.2,N0,Lumen
72.0628,12.1735,N1,Lumen
72.0628,23.0311,AB,Lumen
72.1865,2.04888,R,Wall
72.1865,2231.46,N0,Wall
72.1865,1.06575,N1,Wall
72.1865,0,AB,Wall
72.1865,5.27844,R,Lumen
72.1865,1011.12,N0,Lumen
72.1865,12.3402,N1,Lumen
72.1865,23.0309,AB,Lumen
72.3111,2.04888,R,Wall
72.3111,2231.45,N0,Wall
72.3111,1.08073,N1,Wall
72.3111,0,AB,Wall
72.3111,5.2782,R,Lumen
72.3111,1011.03,N0,Lumen
72.3111,12.5104,N1,Lumen
72.3111,23.0307,AB,Lumen
72.4365,2.04887,R,Wall
72.4365,2231.44,N0,Wall
72.4365,1.09602,N1,Wall
72.4365,0,AB,Wall
72.4365,5.27794,R,Lumen
72.4365,1010.94,N0,Lumen
72.4365,12.684,N1,Lumen
72.4365,23.0305,AB,Lumen
72.5628,2.04887,R,Wall
72.5628,2231.43,N0,Wall
72.5628,1.11163,N1,Wall
72.5628,0,AB,Wall
72.5628,5.27768,R,Lumen
72.5628,1010.85,N0,Lumen
72.5628,12.8613,N1,Lumen
72.5628,23.0302,AB,Lumen
72.6899,2.04886,R,Wall
72.6899,2231.42,N0,Wall
72.6899,1.12757,N1,Wall
72.6899,0,AB,Wall
72.6899,5.2774,R,Lumen
72.6899,1010.76,N0,Lumen
72.6899,13.0422,N1,Lumen
72.6899,23.03,AB,Lumen
72.8176,2.04886,R,Wall
72.8176,2231.41,N0,Wall
72.8176,1.1438,N1,Wall
72.8176,0,AB,Wall
72.8176,5.27712,R,Lumen
72.8176,1010.67,N0,Lumen
72.8176,13.2265,N1,Lumen
72.8176,23.0297,AB,Lumen
72.9447,2.04886,R,Wall
72.9447,2231.4,N0,Wall
72.9447,1.1602,N1,Wall
72.9447,0,AB,Wall
72.9447,5.27683,R,Lumen
72.9447,1010.58,N0,Lumen
72.9447,13.4126,N1,Lumen
72.9447,23.0294,AB,Lumen
73.0713,2.04885,R,Wall
73.0713,2231.38,N0,Wall
73.0713,1.17674,N1,Wall
73.0713,0,AB,Wall
73.0713,5.27654,R,Lumen
73.0713,1010.48,N0,Lumen
73.0713,13.6004,N1,Lumen
73.0713,23.0291,AB,Lumen
73.1973,2.04885,R,Wall
73.1973,2231.37,N0,Wall
73.1973,1.19345,N1,Wall
73.1973,0,AB,Wall
73.1973,5.27623,R,Lumen
73.1973,1010.39,N0,Lumen
73.1973,13.79,N1,Lumen
73.1973,23.0288,AB,Lumen
73.3228,2.04884,R,Wall
73.3228,2231.36,N0,Wall
73.3228,1.21031,N1,Wall
73.3228,0,AB,Wall
73.3228,5.27593,R,Lumen
73.3228,1010.29,N0,Lumen
73.3228,13.9814,N1,Lumen
73.3228,23.0285,AB,Lumen
73.4477,2.04884,R,Wall
73.4477,2231.35,N0,Wall
73.4477,1.22733,N1,Wall
73.4477,0,AB,Wall
73.4477,5.27562,R,Lumen
73.4477,1010.19,N0,Lumen
73.4477,14.1745,N1,Lumen
73.4477,23.0282,AB,Lumen
73.5721,2.04883,R,Wall
73.5721,2231.34,N0,Wall
73.5721,1.24451,N1,Wall
73.5721,0,AB,Wall
73.5721,5.2753,R,Lumen
73.5721,1010.09,N0,Lumen
73.5721,14.3695,N1,Lumen
73.5721,23.0279,AB,Lumen
73.6959,2.04883,R,Wall
73.6959,2231.33,N0,Wall
73.6959,1.26184,N1,Wall
73.6959,0,AB,Wall
73.6959,5.27498,R,Lumen
73.6959,1009.99,N0,Lumen
73.6959,14.5662,N1,Lumen
73.6959,23.0275,AB,Lumen
73.8192,2.04882,R,Wall
73.8192,2231.32,N0,Wall
73.8192,1.27934,N1,Wall
73.8192,0,AB,Wall
73.8192,5.27465,R,Lumen
73.8192,1009.89,N0,Lumen
73.8192,14.7647,N1,Lumen
73.8192,23.0272,AB,Lumen
73.9419,2.04882,R,Wall
73.9419,2231.31,N0,Wall
73.9419,1.297,N1,Wall
73.9419,0,AB,Wall
73.9419,5.27432,R,Lumen
