pars,popsize,population,DXDT
65,5.71585e+06,N0,-9.99709e-07
65,1.59219e+07,N1,-8.73298e-07
66,5.70449e+06,N0,-9.95402e-07
66,1.59332e+07,N1,-8.70353e-07
67,5.69351e+06,N0,-9.96828e-07
67,1.59441e+07,N1,-8.74273e-07
68,5.68287e+06,N0,-9.99622e-07
68,1.59547e+07,N1,-8.63318e-07
69,5.67257e+06,N0,-9.90905e-07
69,1.5965e+07,N1,-8.7011e-07
70,5.66258e+06,N0,-9.95824e-07
70,1.59749e+07,N1,-8.61208e-07
71,5.6529e+06,N0,-9.92455e-07
71,1.59845e+07,N1,-8.70094e-07
72,5.64351e+06,N0,-9.96777e-07
72,1.59939e+07,N1,-8.63873e-07
73,5.6344e+06,N0,-9.99622e-07
73,1.6003e+07,N1,-8.63166e-07
74,5.62555e+06,N0,-9.94543e-07
74,1.60118e+07,N1,-8.56898e-07
75,5.61695e+06,N0,-9.95089e-07
75,1.60203e+07,N1,-8.60654e-07
76,5.6086e+06,N0,-9.91065e-07
76,1.60286e+07,N1,-8.62785e-07
77,5.60048e+06,N0,-9.93656e-07
77,1.60367e+07,N1,-8.64665e-07
78,5.59259e+06,N0,-9.96515e-07
78,1.60446e+07,N1,-8.57469e-07
79,5.58491e+06,N0,-9.95788e-07
79,1.60522e+07,N1,-8.57582e-07
80,5.57743e+06,N0,-9.91378e-07
80,1.60597e+07,N1,-8.54692e-07
81,5.57015e+06,N0,-9.95147e-07
81,1.60669e+07,N1,-8.52111e-07
82,5.56306e+06,N0,-9.96377e-07
82,1.6074e+07,N1,-8.55037e-07
83,5.55616e+06,N0,-9.98407e-07
83,1.60809e+07,N1,-8.43099e-07
84,5.54943e+06,N0,-9.9132e-07
84,1.60876e+07,N1,-8.54031e-07
85,5.54287e+06,N0,-9.92164e-07
85,1.60941e+07,N1,-8.49935e-07
86,5.53647e+06,N0,-9.93707e-07
86,1.61005e+07,N1,-8.51897e-07
87,5.53022e+06,N0,-9.95795e-07
87,1.61067e+07,N1,-8.49506e-07
88,5.52413e+06,N0,-9.97097e-07
88,1.61128e+07,N1,-8.54251e-07
89,5.51819e+06,N0,-9.97956e-07
89,1.61187e+07,N1,-8.5054e-07
90,5.51238e+06,N0,-9.92521e-07
90,1.61245e+07,N1,-8.45845e-07
91,5.50671e+06,N0,-9.94507e-07
91,1.61301e+07,N1,-8.50574e-07
92,5.50117e+06,N0,-9.99615e-07
92,1.61356e+07,N1,-8.40624e-07
93,5.49576e+06,N0,-9.97337e-07
93,1.6141e+07,N1,-8.38808e-07
94,5.49047e+06,N0,-9.92346e-07
94,1.61463e+07,N1,-8.40313e-07
95,5.48529e+06,N0,-9.92142e-07
95,1.61514e+07,N1,-8.41899e-07
96,5.48023e+06,N0,-9.90942e-07
96,1.61565e+07,N1,-8.40894e-07
97,5.47528e+06,N0,-9.93445e-07
97,1.61614e+07,N1,-8.36642e-07
98,5.47044e+06,N0,-9.93605e-07
98,1.61662e+07,N1,-8.40269e-07
99,5.4657e+06,N0,-9.95278e-07
99,1.61709e+07,N1,-8.38843e-07
