pars,popsize,population,DXDT
5,4.35935e+06,N0,5.41193e-07
5,0,N1,-8.21796e-07
6,5.90022e+06,N0,8.44077e-07
6,0,N1,-9.11417e-07
7,7.44112e+06,N0,6.36486e-07
7,0,N1,-9.49605e-07
8,8.98206e+06,N0,3.94444e-07
8,0,N1,-9.91717e-07
9,1.0523e+07,N0,2.30953e-07
9,0,N1,-9.51793e-07
10,1.2064e+07,N0,1.19238e-07
10,0,N1,-9.59966e-07
11,1.3605e+07,N0,2.2017e-08
11,0,N1,-9.7914e-07
12,1.51461e+07,N0,-7.80856e-08
12,0,N1,-9.86734e-07
13,1.66872e+07,N0,-1.72848e-07
13,0,N1,-9.99613e-07
14,1.26675e+07,N0,6.93573e-07
14,5.66458e+06,N1,9.99655e-07
15,7.75213e+06,N0,-9.04474e-07
15,1.22518e+07,N1,-1.25733e-06
16,5.46106e+06,N0,-9.89028e-07
16,1.61756e+07,N1,-8.38197e-07
17,4.26825e+06,N0,-9.96632e-07
17,1.89852e+07,N1,-7.62266e-07
18,3.56186e+06,N0,-9.83469e-07
18,2.13014e+07,N1,-7.92804e-07
19,3.10085e+06,N0,-9.73421e-07
19,2.33689e+07,N1,-8.3824e-07
20,2.77814e+06,N0,-9.90072e-07
20,2.52961e+07,N1,-8.86289e-07
21,2.54032e+06,N0,-9.97283e-07
21,2.71372e+07,N1,-9.48231e-07
22,2.35806e+06,N0,-1.73135e-07
22,2.89219e+07,N1,-1.86583e-06
23,2.21408e+06,N0,-1.61584e-07
23,3.06679e+07,N1,-1.96849e-06
24,2.09752e+06,N0,-1.51511e-07
24,3.23861e+07,N1,-2.05468e-06
25,2.00128e+06,N0,-1.43104e-07
25,3.40837e+07,N1,-2.14159e-06
26,1.92049e+06,N0,1.36475e-07
26,3.57656e+07,N1,2.23498e-06
27,1.85171e+06,N0,-1.31251e-07
27,3.74353e+07,N1,-2.33088e-06
28,1.79247e+06,N0,1.26602e-07
28,3.90953e+07,N1,2.42707e-06
29,1.74091e+06,N0,1.22691e-07
29,4.07476e+07,N1,2.52348e-06
30,1.69563e+06,N0,-1.18962e-07
30,4.23935e+07,N1,-2.61204e-06
31,1.65556e+06,N0,-1.1581e-07
31,4.40341e+07,N1,-2.70696e-06
32,1.61984e+06,N0,1.12977e-07
32,4.56703e+07,N1,2.802e-06
33,1.58781e+06,N0,-1.10927e-07
33,4.73028e+07,N1,-2.90314e-06
34,1.55892e+06,N0,-1.08428e-07
34,4.89321e+07,N1,-2.99121e-06
35,1.53273e+06,N0,1.06531e-07
35,5.05586e+07,N1,3.08892e-06
36,1.50889e+06,N0,1.04865e-07
36,5.21828e+07,N1,3.18689e-06
37,1.48708e+06,N0,1.02875e-07
37,5.38049e+07,N1,3.27246e-06
38,1.46706e+06,N0,-1.01212e-07
38,5.54252e+07,N1,-3.35674e-06
39,1.44863e+06,N0,9.97479e-08
39,5.70439e+07,N1,3.45233e-06
40,1.43159e+06,N0,9.8813e-08
40,5.86612e+07,N1,3.5579e-06
41,1.4158e+06,N0,9.76652e-08
41,6.02772e+07,N1,3.65356e-06
42,1.40112e+06,N0,-9.65192e-08
42,6.18921e+07,N1,-3.74545e-06
43,1.38744e+06,N0,-9.5848e-08
43,6.35059e+07,N1,-3.85245e-06
44,1.37466e+06,N0,-9.46657e-08
44,6.51189e+07,N1,-3.94241e-06
45,1.3627e+06,N0,9.33487e-08
45,6.6731e+07,N1,4.017e-06
46,1.35148e+06,N0,9.22009e-08
46,6.83424e+07,N1,4.09223e-06
47,1.34093e+06,N0,-9.2452e-08
47,6.99531e+07,N1,-4.23678e-06
48,1.331e+06,N0,-9.07257e-08
48,7.15631e+07,N1,-4.28567e-06
49,1.32162e+06,N0,-9.08421e-08
49,7.31726e+07,N1,-4.41554e-06
50,1.31277e+06,N0,-8.99199e-08
50,7.47816e+07,N1,-4.50246e-06
51,1.30439e+06,N0,8.92433e-08
51,7.63901e+07,N1,4.59139e-06
52,1.29644e+06,N0,8.8894e-08
52,7.79982e+07,N1,4.69215e-06
53,1.2889e+06,N0,8.84938e-08
53,7.96058e+07,N1,4.80307e-06
54,1.28173e+06,N0,-8.75552e-08
54,8.12131e+07,N1,-4.86904e-06
55,1.27491e+06,N0,8.66294e-08
55,8.282e+07,N1,4.9426e-06
56,1.26842e+06,N0,-8.60709e-08
56,8.44266e+07,N1,-5.02642e-06
57,1.26222e+06,N0,-8.60837e-08
57,8.60329e+07,N1,-5.15277e-06
58,1.2563e+06,N0,8.5538e-08
58,8.76389e+07,N1,5.24214e-06
59,1.25064e+06,N0,-8.47704e-08
59,8.92446e+07,N1,-5.31429e-06
60,1.24523e+06,N0,8.48086e-08
60,9.08501e+07,N1,5.4304e-06
61,1.24005e+06,N0,-8.39136e-08
61,9.24553e+07,N1,-5.49799e-06
62,1.23508e+06,N0,8.40555e-08
62,9.40604e+07,N1,5.62262e-06
63,1.23031e+06,N0,8.39591e-08
63,9.56652e+07,N1,5.73194e-06
64,1.22573e+06,N0,-8.35244e-08
64,9.72699e+07,N1,-5.81759e-06
65,1.22133e+06,N0,8.26094e-08
65,9.88743e+07,N1,5.8732e-06
66,1.2171e+06,N0,8.23311e-08
66,1.00479e+08,N1,5.96652e-06
67,1.21303e+06,N0,-8.23293e-08
67,1.02083e+08,N1,-6.08248e-06
68,1.2091e+06,N0,8.19837e-08
68,1.03687e+08,N1,6.17422e-06
69,1.20532e+06,N0,8.19637e-08
69,1.05291e+08,N1,6.28607e-06
70,1.20168e+06,N0,8.182e-08
70,1.06894e+08,N1,6.39553e-06
71,1.19816e+06,N0,-8.15144e-08
71,1.08498e+08,N1,-6.46854e-06
72,1.19476e+06,N0,8.13907e-08
72,1.10101e+08,N1,6.59314e-06
73,1.19147e+06,N0,8.08832e-08
73,1.11705e+08,N1,6.65582e-06
74,1.1883e+06,N0,-8.0372e-08
74,1.13308e+08,N1,-6.73358e-06
75,1.18523e+06,N0,8.05794e-08
75,1.14911e+08,N1,6.85781e-06
76,1.18225e+06,N0,8.01138e-08
76,1.16514e+08,N1,6.93718e-06
77,1.17937e+06,N0,-8.04393e-08
77,1.18117e+08,N1,-7.07483e-06
78,1.17659e+06,N0,7.99009e-08
78,1.1972e+08,N1,7.13551e-06
79,1.17388e+06,N0,-7.94716e-08
79,1.21322e+08,N1,-7.21183e-06
80,1.17126e+06,N0,7.96081e-08
